Name,Date,Open,High,Low,Close,Volume
BRL,20080103,1.3899,1.3899,1.3899,1.3899,0
BRL,20080104,1.3987,1.3987,1.3987,1.3987,0
BRL,20080107,1.3990,1.3990,1.3990,1.3990,0
BRL,20080108,1.3823,1.3823,1.3823,1.3823,0
BRL,20080109,1.3820,1.3820,1.3820,1.3820,0
BRL,20080110,1.3850,1.3850,1.3850,1.3850,0
BRL,20080111,1.3824,1.3824,1.3824,1.3824,0
BRL,20080114,1.3698,1.3698,1.3698,1.3698,0
BRL,20080115,1.3899,1.3899,1.3899,1.3899,0
BRL,20080116,1.3854,1.3854,1.3854,1.3854,0
BRL,20080117,1.3932,1.3932,1.3932,1.3932,0
BRL,20080118,1.3812,1.3812,1.3812,1.3812,0
BRL,20080121,1.4051,1.4051,1.4051,1.4051,0
BRL,20080122,1.3772,1.3772,1.3772,1.3772,0
BRL,20080123,1.3838,1.3838,1.3838,1.3838,0
BRL,20080124,1.3831,1.3831,1.3831,1.3831,0
BRL,20080125,1.3742,1.3742,1.3742,1.3742,0
BRL,20080128,1.3801,1.3801,1.3801,1.3801,0
BRL,20080129,1.3726,1.3726,1.3726,1.3726,0
BRL,20080130,1.3738,1.3738,1.3738,1.3738,0
BRL,20080131,1.3896,1.3896,1.3896,1.3896,0
BRL,20080201,1.3768,1.3768,1.3768,1.3768,0
BRL,20080204,1.3795,1.3795,1.3795,1.3795,0
BRL,20080205,1.3903,1.3903,1.3903,1.3903,0
BRL,20080206,1.3972,1.3972,1.3972,1.3972,0
BRL,20080207,1.3962,1.3962,1.3962,1.3962,0
BRL,20080208,1.4261,1.4261,1.4261,1.4261,0
BRL,20080211,1.4068,1.4068,1.4068,1.4068,0
BRL,20080212,1.4075,1.4075,1.4075,1.4075,0
BRL,20080213,1.4063,1.4063,1.4063,1.4063,0
BRL,20080214,1.4031,1.4031,1.4031,1.4031,0
BRL,20080215,1.4031,1.4031,1.4031,1.4031,0
BRL,20080218,1.3949,1.3949,1.3949,1.3949,0
BRL,20080219,1.4010,1.4010,1.4010,1.4010,0
BRL,20080220,1.4035,1.4035,1.4035,1.4035,0
BRL,20080221,1.4133,1.4133,1.4133,1.4133,0
BRL,20080222,1.4046,1.4046,1.4046,1.4046,0
BRL,20080225,1.4066,1.4066,1.4066,1.4066,0
BRL,20080226,1.3935,1.3935,1.3935,1.3935,0
BRL,20080227,1.3968,1.3968,1.3968,1.3968,0
BRL,20080228,1.3946,1.3946,1.3946,1.3946,0
BRL,20080229,1.3868,1.3868,1.3868,1.3868,0
BRL,20080303,1.3783,1.3783,1.3783,1.3783,0
BRL,20080304,1.3891,1.3891,1.3891,1.3891,0
BRL,20080305,1.3912,1.3912,1.3912,1.3912,0
BRL,20080306,1.3880,1.3880,1.3880,1.3880,0
BRL,20080307,1.3694,1.3694,1.3694,1.3694,0
BRL,20080310,1.3795,1.3795,1.3795,1.3795,0
BRL,20080311,1.3503,1.3503,1.3503,1.3503,0
BRL,20080312,1.3543,1.3543,1.3543,1.3543,0
BRL,20080313,1.3543,1.3543,1.3543,1.3543,0
BRL,20080314,1.3402,1.3402,1.3402,1.3402,0
BRL,20080317,1.3179,1.3179,1.3179,1.3179,0
BRL,20080318,1.3033,1.3033,1.3033,1.3033,0
BRL,20080319,1.3314,1.3314,1.3314,1.3314,0
BRL,20080320,1.3247,1.3247,1.3247,1.3247,0
BRL,20080321,1.3203,1.3203,1.3203,1.3203,0
BRL,20080325,1.3005,1.3005,1.3005,1.3005,0
BRL,20080326,1.2959,1.2959,1.2959,1.2959,0
BRL,20080327,1.2912,1.2912,1.2912,1.2912,0
BRL,20080328,1.2832,1.2832,1.2832,1.2832,0
BRL,20080331,1.2785,1.2785,1.2785,1.2785,0
BRL,20080401,1.2750,1.2750,1.2750,1.2750,0
BRL,20080402,1.2845,1.2845,1.2845,1.2845,0
BRL,20080403,1.2938,1.2938,1.2938,1.2938,0
BRL,20080404,1.2889,1.2889,1.2889,1.2889,0
BRL,20080407,1.2910,1.2910,1.2910,1.2910,0
BRL,20080408,1.2885,1.2885,1.2885,1.2885,0
BRL,20080409,1.2975,1.2975,1.2975,1.2975,0
BRL,20080410,1.2890,1.2890,1.2890,1.2890,0
BRL,20080411,1.2787,1.2787,1.2787,1.2787,0
BRL,20080414,1.2865,1.2865,1.2865,1.2865,0
BRL,20080415,1.2727,1.2727,1.2727,1.2727,0
BRL,20080416,1.2820,1.2820,1.2820,1.2820,0
BRL,20080417,1.2934,1.2934,1.2934,1.2934,0
BRL,20080418,1.2999,1.2999,1.2999,1.2999,0
BRL,20080421,1.2949,1.2949,1.2949,1.2949,0
BRL,20080422,1.2851,1.2851,1.2851,1.2851,0
BRL,20080423,1.2886,1.2886,1.2886,1.2886,0
BRL,20080424,1.3085,1.3085,1.3085,1.3085,0
BRL,20080425,1.3159,1.3159,1.3159,1.3159,0
BRL,20080428,1.3172,1.3172,1.3172,1.3172,0
BRL,20080429,1.3116,1.3116,1.3116,1.3116,0
BRL,20080430,1.3055,1.3055,1.3055,1.3055,0
BRL,20080502,1.3409,1.3409,1.3409,1.3409,0
BRL,20080505,1.3467,1.3467,1.3467,1.3467,0
BRL,20080506,1.3423,1.3423,1.3423,1.3423,0
BRL,20080507,1.3382,1.3382,1.3382,1.3382,0
BRL,20080508,1.3248,1.3248,1.3248,1.3248,0
BRL,20080509,1.2965,1.2965,1.2965,1.2965,0
BRL,20080512,1.3057,1.3057,1.3057,1.3057,0
BRL,20080513,1.3149,1.3149,1.3149,1.3149,0
BRL,20080514,1.3231,1.3231,1.3231,1.3231,0
BRL,20080515,1.3130,1.3130,1.3130,1.3130,0
BRL,20080516,1.3231,1.3231,1.3231,1.3231,0
BRL,20080519,1.3201,1.3201,1.3201,1.3201,0
BRL,20080520,1.3172,1.3172,1.3172,1.3172,0
BRL,20080521,1.3031,1.3031,1.3031,1.3031,0
BRL,20080523,1.3079,1.3079,1.3079,1.3079,0
BRL,20080526,1.3026,1.3026,1.3026,1.3026,0
BRL,20080527,1.2999,1.2999,1.2999,1.2999,0
BRL,20080528,1.2968,1.2968,1.2968,1.2968,0
BRL,20080529,1.3150,1.3150,1.3150,1.3150,0
BRL,20080530,1.3324,1.3324,1.3324,1.3324,0
BRL,20080602,1.3367,1.3367,1.3367,1.3367,0
BRL,20080603,1.3277,1.3277,1.3277,1.3277,0
BRL,20080604,1.3384,1.3384,1.3384,1.3384,0
BRL,20080605,1.3407,1.3407,1.3407,1.3407,0
BRL,20080606,1.3358,1.3358,1.3358,1.3358,0
BRL,20080609,1.3136,1.3136,1.3136,1.3136,0
BRL,20080610,1.3379,1.3379,1.3379,1.3379,0
BRL,20080611,1.3253,1.3253,1.3253,1.3253,0
BRL,20080612,1.3372,1.3372,1.3372,1.3372,0
BRL,20080613,1.3487,1.3487,1.3487,1.3487,0
BRL,20080616,1.3420,1.3420,1.3420,1.3420,0
BRL,20080617,1.3457,1.3457,1.3457,1.3457,0
BRL,20080618,1.3541,1.3541,1.3541,1.3541,0
BRL,20080619,1.3516,1.3516,1.3516,1.3516,0
BRL,20080620,1.3465,1.3465,1.3465,1.3465,0
BRL,20080623,1.3500,1.3500,1.3500,1.3500,0
BRL,20080624,1.3396,1.3396,1.3396,1.3396,0
BRL,20080625,1.3426,1.3426,1.3426,1.3426,0
BRL,20080626,1.3464,1.3464,1.3464,1.3464,0
BRL,20080627,1.3338,1.3338,1.3338,1.3338,0
BRL,20080630,1.3287,1.3287,1.3287,1.3287,0
BRL,20080701,1.3274,1.3274,1.3274,1.3274,0
BRL,20080702,1.3301,1.3301,1.3301,1.3301,0
BRL,20080703,1.3178,1.3178,1.3178,1.3178,0
BRL,20080704,1.3171,1.3171,1.3171,1.3171,0
BRL,20080707,1.3165,1.3165,1.3165,1.3165,0
BRL,20080708,1.3076,1.3076,1.3076,1.3076,0
BRL,20080709,1.3014,1.3014,1.3014,1.3014,0
BRL,20080710,1.2926,1.2926,1.2926,1.2926,0
BRL,20080711,1.2873,1.2873,1.2873,1.2873,0
BRL,20080714,1.2814,1.2814,1.2814,1.2814,0
BRL,20080715,1.2774,1.2774,1.2774,1.2774,0
BRL,20080716,1.2725,1.2725,1.2725,1.2725,0
BRL,20080717,1.2734,1.2734,1.2734,1.2734,0
BRL,20080718,1.2699,1.2699,1.2699,1.2699,0
BRL,20080721,1.2726,1.2726,1.2726,1.2726,0
BRL,20080722,1.2793,1.2793,1.2793,1.2793,0
BRL,20080723,1.3132,1.3132,1.3132,1.3132,0
BRL,20080724,1.3051,1.3051,1.3051,1.3051,0
BRL,20080725,1.2886,1.2886,1.2886,1.2886,0
BRL,20080728,1.2923,1.2923,1.2923,1.2923,0
BRL,20080729,1.3031,1.3031,1.3031,1.3031,0
BRL,20080730,1.3056,1.3056,1.3056,1.3056,0
BRL,20080731,1.3138,1.3138,1.3138,1.3138,0
BRL,20080801,1.3240,1.3240,1.3240,1.3240,0
BRL,20080804,1.3205,1.3205,1.3205,1.3205,0
BRL,20080805,1.3309,1.3309,1.3309,1.3309,0
BRL,20080806,1.3272,1.3272,1.3272,1.3272,0
BRL,20080807,1.3328,1.3328,1.3328,1.3328,0
BRL,20080808,1.3455,1.3455,1.3455,1.3455,0
BRL,20080811,1.3445,1.3445,1.3445,1.3445,0
BRL,20080812,1.3573,1.3573,1.3573,1.3573,0
BRL,20080813,1.3536,1.3536,1.3536,1.3536,0
BRL,20080814,1.3780,1.3780,1.3780,1.3780,0
BRL,20080818,1.3911,1.3911,1.3911,1.3911,0
BRL,20080819,1.3884,1.3884,1.3884,1.3884,0
BRL,20080820,1.3809,1.3809,1.3809,1.3809,0
BRL,20080821,1.3785,1.3785,1.3785,1.3785,0
BRL,20080822,1.3810,1.3810,1.3810,1.3810,0
BRL,20080825,1.3808,1.3808,1.3808,1.3808,0
BRL,20080826,1.3901,1.3901,1.3901,1.3901,0
BRL,20080827,1.3884,1.3884,1.3884,1.3884,0
BRL,20080828,1.4003,1.4003,1.4003,1.4003,0
BRL,20080829,1.3898,1.3898,1.3898,1.3898,0
BRL,20080901,1.3979,1.3979,1.3979,1.3979,0
BRL,20080902,1.4049,1.4049,1.4049,1.4049,0
BRL,20080903,1.4108,1.4108,1.4108,1.4108,0
BRL,20080904,1.3862,1.3862,1.3862,1.3862,0
BRL,20080905,1.4210,1.4210,1.4210,1.4210,0
BRL,20080908,1.4064,1.4064,1.4064,1.4064,0
BRL,20080909,1.4277,1.4277,1.4277,1.4277,0
BRL,20080910,1.3836,1.3836,1.3836,1.3836,0
BRL,20080911,1.3959,1.3959,1.3959,1.3959,0
BRL,20080912,1.3218,1.3218,1.3218,1.3218,0
BRL,20080915,1.3217,1.3217,1.3217,1.3217,0
BRL,20080916,1.3104,1.3104,1.3104,1.3104,0
BRL,20080917,1.2914,1.2914,1.2914,1.2914,0
BRL,20080918,1.2375,1.2375,1.2375,1.2375,0
