Name,Date,Open,High,Low,Close,Volume
CZK,19990101,0.1169,0.1169,0.1169,0.1169,0
CZK,19990104,0.1159,0.1159,0.1159,0.1159,0
CZK,19990105,0.1149,0.1149,0.1149,0.1149,0
CZK,19990106,0.1150,0.1150,0.1150,0.1150,0
CZK,19990107,0.1151,0.1151,0.1151,0.1151,0
CZK,19990108,0.1156,0.1156,0.1156,0.1156,0
CZK,19990111,0.1148,0.1148,0.1148,0.1148,0
CZK,19990112,0.1143,0.1143,0.1143,0.1143,0
CZK,19990113,0.1167,0.1167,0.1167,0.1167,0
CZK,19990114,0.1157,0.1157,0.1157,0.1157,0
CZK,19990115,0.1161,0.1161,0.1161,0.1161,0
CZK,19990118,0.1143,0.1143,0.1143,0.1143,0
CZK,19990119,0.1148,0.1148,0.1148,0.1148,0
CZK,19990120,0.1141,0.1141,0.1141,0.1141,0
CZK,19990121,0.1144,0.1144,0.1144,0.1144,0
CZK,19990122,0.1146,0.1146,0.1146,0.1146,0
CZK,19990125,0.1150,0.1150,0.1150,0.1150,0
CZK,19990126,0.1144,0.1144,0.1144,0.1144,0
CZK,19990127,0.1141,0.1141,0.1141,0.1141,0
CZK,19990128,0.1138,0.1138,0.1138,0.1138,0
CZK,19990129,0.1130,0.1130,0.1130,0.1130,0
CZK,19990201,0.1137,0.1137,0.1137,0.1137,0
CZK,19990202,0.1130,0.1130,0.1130,0.1130,0
CZK,19990203,0.1133,0.1133,0.1133,0.1133,0
CZK,19990204,0.1117,0.1117,0.1117,0.1117,0
CZK,19990205,0.1117,0.1117,0.1117,0.1117,0
CZK,19990208,0.1111,0.1111,0.1111,0.1111,0
CZK,19990209,0.1108,0.1108,0.1108,0.1108,0
CZK,19990210,0.1113,0.1113,0.1113,0.1113,0
CZK,19990211,0.1121,0.1121,0.1121,0.1121,0
CZK,19990212,0.1117,0.1117,0.1117,0.1117,0
CZK,19990215,0.1117,0.1117,0.1117,0.1117,0
CZK,19990216,0.1120,0.1120,0.1120,0.1120,0
CZK,19990217,0.1127,0.1127,0.1127,0.1127,0
CZK,19990218,0.1128,0.1128,0.1128,0.1128,0
CZK,19990219,0.1129,0.1129,0.1129,0.1129,0
CZK,19990222,0.1125,0.1125,0.1125,0.1125,0
CZK,19990223,0.1120,0.1120,0.1120,0.1120,0
CZK,19990224,0.1125,0.1125,0.1125,0.1125,0
CZK,19990225,0.1133,0.1133,0.1133,0.1133,0
CZK,19990226,0.1147,0.1147,0.1147,0.1147,0
CZK,19990301,0.1146,0.1146,0.1146,0.1146,0
CZK,19990302,0.1150,0.1150,0.1150,0.1150,0
CZK,19990303,0.1156,0.1156,0.1156,0.1156,0
CZK,19990304,0.1148,0.1148,0.1148,0.1148,0
CZK,19990305,0.1141,0.1141,0.1141,0.1141,0
CZK,19990308,0.1131,0.1131,0.1131,0.1131,0
CZK,19990309,0.1124,0.1124,0.1124,0.1124,0
CZK,19990310,0.1136,0.1136,0.1136,0.1136,0
CZK,19990311,0.1135,0.1135,0.1135,0.1135,0
CZK,19990312,0.1130,0.1130,0.1130,0.1130,0
CZK,19990315,0.1142,0.1142,0.1142,0.1142,0
CZK,19990316,0.1132,0.1132,0.1132,0.1132,0
CZK,19990317,0.1134,0.1134,0.1134,0.1134,0
CZK,19990318,0.1135,0.1135,0.1135,0.1135,0
CZK,19990319,0.1121,0.1121,0.1121,0.1121,0
CZK,19990322,0.1121,0.1121,0.1121,0.1121,0
CZK,19990323,0.1119,0.1119,0.1119,0.1119,0
CZK,19990324,0.1125,0.1125,0.1125,0.1125,0
CZK,19990325,0.1121,0.1121,0.1121,0.1121,0
CZK,19990326,0.1115,0.1115,0.1115,0.1115,0
CZK,19990329,0.1109,0.1109,0.1109,0.1109,0
CZK,19990330,0.1109,0.1109,0.1109,0.1109,0
CZK,19990331,0.1120,0.1120,0.1120,0.1120,0
CZK,19990401,0.1120,0.1120,0.1120,0.1120,0
CZK,19990402,0.1131,0.1131,0.1131,0.1131,0
CZK,19990406,0.1124,0.1124,0.1124,0.1124,0
CZK,19990407,0.1126,0.1126,0.1126,0.1126,0
CZK,19990408,0.1127,0.1127,0.1127,0.1127,0
CZK,19990409,0.1129,0.1129,0.1129,0.1129,0
CZK,19990412,0.1129,0.1129,0.1129,0.1129,0
CZK,19990413,0.1128,0.1128,0.1128,0.1128,0
CZK,19990414,0.1129,0.1129,0.1129,0.1129,0
CZK,19990415,0.1137,0.1137,0.1137,0.1137,0
CZK,19990416,0.1129,0.1129,0.1129,0.1129,0
CZK,19990419,0.1129,0.1129,0.1129,0.1129,0
CZK,19990420,0.1128,0.1128,0.1128,0.1128,0
CZK,19990421,0.1124,0.1124,0.1124,0.1124,0
CZK,19990422,0.1125,0.1125,0.1125,0.1125,0
CZK,19990423,0.1128,0.1128,0.1128,0.1128,0
CZK,19990426,0.1123,0.1123,0.1123,0.1123,0
CZK,19990427,0.1126,0.1126,0.1126,0.1126,0
CZK,19990428,0.1125,0.1125,0.1125,0.1125,0
CZK,19990429,0.1121,0.1121,0.1121,0.1121,0
CZK,19990430,0.1113,0.1113,0.1113,0.1113,0
CZK,19990504,0.1111,0.1111,0.1111,0.1111,0
CZK,19990505,0.1112,0.1112,0.1112,0.1112,0
CZK,19990506,0.1119,0.1119,0.1119,0.1119,0
CZK,19990507,0.1117,0.1117,0.1117,0.1117,0
CZK,19990510,0.1111,0.1111,0.1111,0.1111,0
CZK,19990511,0.1113,0.1113,0.1113,0.1113,0
CZK,19990512,0.1108,0.1108,0.1108,0.1108,0
CZK,19990513,0.1113,0.1113,0.1113,0.1113,0
CZK,19990514,0.1116,0.1116,0.1116,0.1116,0
CZK,19990517,0.1114,0.1114,0.1114,0.1114,0
CZK,19990518,0.1112,0.1112,0.1112,0.1112,0
CZK,19990519,0.1106,0.1106,0.1106,0.1106,0
CZK,19990520,0.1102,0.1102,0.1102,0.1102,0
CZK,19990521,0.1100,0.1100,0.1100,0.1100,0
CZK,19990524,0.1101,0.1101,0.1101,0.1101,0
CZK,19990525,0.1105,0.1105,0.1105,0.1105,0
CZK,19990526,0.1103,0.1103,0.1103,0.1103,0
CZK,19990527,0.1102,0.1102,0.1102,0.1102,0
CZK,19990528,0.1110,0.1110,0.1110,0.1110,0
CZK,19990531,0.1104,0.1104,0.1104,0.1104,0
CZK,19990601,0.1105,0.1105,0.1105,0.1105,0
CZK,19990602,0.1106,0.1106,0.1106,0.1106,0
CZK,19990604,0.1103,0.1103,0.1103,0.1103,0
CZK,19990607,0.1102,0.1102,0.1102,0.1102,0
CZK,19990608,0.1106,0.1106,0.1106,0.1106,0
CZK,19990609,0.1109,0.1109,0.1109,0.1109,0
CZK,19990610,0.1105,0.1105,0.1105,0.1105,0
CZK,19990611,0.1107,0.1107,0.1107,0.1107,0
CZK,19990614,0.1108,0.1108,0.1108,0.1108,0
CZK,19990615,0.1104,0.1104,0.1104,0.1104,0
CZK,19990616,0.1102,0.1102,0.1102,0.1102,0
CZK,19990617,0.1098,0.1098,0.1098,0.1098,0
CZK,19990618,0.1096,0.1096,0.1096,0.1096,0
CZK,19990621,0.1102,0.1102,0.1102,0.1102,0
CZK,19990622,0.1098,0.1098,0.1098,0.1098,0
CZK,19990623,0.1096,0.1096,0.1096,0.1096,0
CZK,19990624,0.1095,0.1095,0.1095,0.1095,0
CZK,19990625,0.1106,0.1106,0.1106,0.1106,0
CZK,19990628,0.1107,0.1107,0.1107,0.1107,0
CZK,19990629,0.1110,0.1110,0.1110,0.1110,0
CZK,19990630,0.1112,0.1112,0.1112,0.1112,0
CZK,19990701,0.1117,0.1117,0.1117,0.1117,0
CZK,19990702,0.1108,0.1108,0.1108,0.1108,0
CZK,19990705,0.1109,0.1109,0.1109,0.1109,0
CZK,19990706,0.1109,0.1109,0.1109,0.1109,0
CZK,19990707,0.1105,0.1105,0.1105,0.1105,0
CZK,19990708,0.1095,0.1095,0.1095,0.1095,0
CZK,19990709,0.1096,0.1096,0.1096,0.1096,0
CZK,19990712,0.1096,0.1096,0.1096,0.1096,0
CZK,19990713,0.1092,0.1092,0.1092,0.1092,0
CZK,19990714,0.1093,0.1093,0.1093,0.1093,0
CZK,19990715,0.1086,0.1086,0.1086,0.1086,0
CZK,19990716,0.1081,0.1081,0.1081,0.1081,0
CZK,19990719,0.1082,0.1082,0.1082,0.1082,0
CZK,19990720,0.1091,0.1091,0.1091,0.1091,0
CZK,19990721,0.1094,0.1094,0.1094,0.1094,0
CZK,19990722,0.1097,0.1097,0.1097,0.1097,0
CZK,19990723,0.1103,0.1103,0.1103,0.1103,0
CZK,19990726,0.1106,0.1106,0.1106,0.1106,0
CZK,19990727,0.1108,0.1108,0.1108,0.1108,0
CZK,19990728,0.1108,0.1108,0.1108,0.1108,0
CZK,19990729,0.1116,0.1116,0.1116,0.1116,0
CZK,19990730,0.1125,0.1125,0.1125,0.1125,0
CZK,19990802,0.1130,0.1130,0.1130,0.1130,0
CZK,19990803,0.1148,0.1148,0.1148,0.1148,0
CZK,19990804,0.1162,0.1162,0.1162,0.1162,0
CZK,19990805,0.1170,0.1170,0.1170,0.1170,0
CZK,19990806,0.1165,0.1165,0.1165,0.1165,0
CZK,19990809,0.1162,0.1162,0.1162,0.1162,0
CZK,19990810,0.1166,0.1166,0.1166,0.1166,0
CZK,19990811,0.1158,0.1158,0.1158,0.1158,0
CZK,19990812,0.1149,0.1149,0.1149,0.1149,0
CZK,19990813,0.1150,0.1150,0.1150,0.1150,0
CZK,19990816,0.1152,0.1152,0.1152,0.1152,0
CZK,19990817,0.1152,0.1152,0.1152,0.1152,0
CZK,19990818,0.1151,0.1151,0.1151,0.1151,0
CZK,19990819,0.1151,0.1151,0.1151,0.1151,0
CZK,19990820,0.1163,0.1163,0.1163,0.1163,0
CZK,19990823,0.1158,0.1158,0.1158,0.1158,0
CZK,19990824,0.1144,0.1144,0.1144,0.1144,0
CZK,19990825,0.1145,0.1145,0.1145,0.1145,0
CZK,19990826,0.1138,0.1138,0.1138,0.1138,0
CZK,19990827,0.1138,0.1138,0.1138,0.1138,0
CZK,19990830,0.1141,0.1141,0.1141,0.1141,0
CZK,19990831,0.1146,0.1146,0.1146,0.1146,0
CZK,19990901,0.1150,0.1150,0.1150,0.1150,0
CZK,19990902,0.1170,0.1170,0.1170,0.1170,0
CZK,19990903,0.1176,0.1176,0.1176,0.1176,0
CZK,19990906,0.1180,0.1180,0.1180,0.1180,0
CZK,19990907,0.1179,0.1179,0.1179,0.1179,0
CZK,19990908,0.1187,0.1187,0.1187,0.1187,0
CZK,19990909,0.1180,0.1180,0.1180,0.1180,0
CZK,19990910,0.1155,0.1155,0.1155,0.1155,0
CZK,19990913,0.1151,0.1151,0.1151,0.1151,0
CZK,19990914,0.1173,0.1173,0.1173,0.1173,0
CZK,19990915,0.1187,0.1187,0.1187,0.1187,0
