Name,Date,Open,High,Low,Close,Volume
DKK,19930104,0.2523,0.2523,0.2523,0.2523,0
DKK,19930105,0.2506,0.2506,0.2506,0.2506,0
DKK,19930106,0.2506,0.2506,0.2506,0.2506,0
DKK,19930107,0.2515,0.2515,0.2515,0.2515,0
DKK,19930108,0.2513,0.2513,0.2513,0.2513,0
DKK,19930111,0.2505,0.2505,0.2505,0.2505,0
DKK,19930112,0.2515,0.2515,0.2515,0.2515,0
DKK,19930113,0.2528,0.2528,0.2528,0.2528,0
DKK,19930114,0.2527,0.2527,0.2527,0.2527,0
DKK,19930115,0.2530,0.2530,0.2530,0.2530,0
DKK,19930118,0.2537,0.2537,0.2537,0.2537,0
DKK,19930119,0.2547,0.2547,0.2547,0.2547,0
DKK,19930120,0.2555,0.2555,0.2555,0.2555,0
DKK,19930121,0.2573,0.2573,0.2573,0.2573,0
DKK,19930122,0.2575,0.2575,0.2575,0.2575,0
DKK,19930125,0.2577,0.2577,0.2577,0.2577,0
DKK,19930126,0.2593,0.2593,0.2593,0.2593,0
DKK,19930127,0.2604,0.2604,0.2604,0.2604,0
DKK,19930128,0.2604,0.2604,0.2604,0.2604,0
DKK,19930129,0.2597,0.2597,0.2597,0.2597,0
DKK,19930201,0.2595,0.2595,0.2595,0.2595,0
DKK,19930202,0.2574,0.2574,0.2574,0.2574,0
DKK,19930203,0.2573,0.2573,0.2573,0.2573,0
DKK,19930204,0.2543,0.2543,0.2543,0.2543,0
DKK,19930205,0.2552,0.2552,0.2552,0.2552,0
DKK,19930208,0.2579,0.2579,0.2579,0.2579,0
DKK,19930209,0.2591,0.2591,0.2591,0.2591,0
DKK,19930210,0.2584,0.2584,0.2584,0.2584,0
DKK,19930211,0.2603,0.2603,0.2603,0.2603,0
DKK,19930212,0.2586,0.2586,0.2586,0.2586,0
DKK,19930215,0.2595,0.2595,0.2595,0.2595,0
DKK,19930216,0.2588,0.2588,0.2588,0.2588,0
DKK,19930217,0.2595,0.2595,0.2595,0.2595,0
DKK,19930218,0.2609,0.2609,0.2609,0.2609,0
DKK,19930219,0.2598,0.2598,0.2598,0.2598,0
DKK,19930222,0.2609,0.2609,0.2609,0.2609,0
DKK,19930223,0.2612,0.2612,0.2612,0.2612,0
DKK,19930224,0.2613,0.2613,0.2613,0.2613,0
