Name,Date,Open,High,Low,Close,Volume
HRK,20080103,0.4920,0.4920,0.4920,0.4920,0
HRK,20080104,0.4908,0.4908,0.4908,0.4908,0
HRK,20080107,0.4899,0.4899,0.4899,0.4899,0
HRK,20080108,0.4901,0.4901,0.4901,0.4901,0
HRK,20080109,0.4891,0.4891,0.4891,0.4891,0
HRK,20080110,0.4890,0.4890,0.4890,0.4890,0
HRK,20080111,0.4871,0.4871,0.4871,0.4871,0
HRK,20080114,0.4874,0.4874,0.4874,0.4874,0
HRK,20080115,0.4861,0.4861,0.4861,0.4861,0
HRK,20080116,0.4895,0.4895,0.4895,0.4895,0
HRK,20080117,0.4903,0.4903,0.4903,0.4903,0
HRK,20080118,0.4942,0.4942,0.4942,0.4942,0
HRK,20080121,0.4958,0.4958,0.4958,0.4958,0
HRK,20080122,0.4995,0.4995,0.4995,0.4995,0
HRK,20080123,0.4960,0.4960,0.4960,0.4960,0
HRK,20080124,0.4983,0.4983,0.4983,0.4983,0
HRK,20080125,0.4970,0.4970,0.4970,0.4970,0
HRK,20080128,0.4984,0.4984,0.4984,0.4984,0
HRK,20080129,0.4986,0.4986,0.4986,0.4986,0
HRK,20080130,0.5009,0.5009,0.5009,0.5009,0
HRK,20080131,0.5026,0.5026,0.5026,0.5026,0
HRK,20080201,0.4985,0.4985,0.4985,0.4985,0
HRK,20080204,0.4930,0.4930,0.4930,0.4930,0
HRK,20080205,0.4941,0.4941,0.4941,0.4941,0
HRK,20080206,0.4940,0.4940,0.4940,0.4940,0
HRK,20080207,0.4948,0.4948,0.4948,0.4948,0
HRK,20080208,0.4970,0.4970,0.4970,0.4970,0
HRK,20080211,0.4976,0.4976,0.4976,0.4976,0
HRK,20080212,0.4965,0.4965,0.4965,0.4965,0
HRK,20080213,0.4948,0.4948,0.4948,0.4948,0
HRK,20080214,0.4939,0.4939,0.4939,0.4939,0
HRK,20080215,0.4945,0.4945,0.4945,0.4945,0
HRK,20080218,0.4917,0.4917,0.4917,0.4917,0
HRK,20080219,0.4910,0.4910,0.4910,0.4910,0
HRK,20080220,0.4921,0.4921,0.4921,0.4921,0
HRK,20080221,0.4909,0.4909,0.4909,0.4909,0
HRK,20080222,0.4903,0.4903,0.4903,0.4903,0
HRK,20080225,0.4893,0.4893,0.4893,0.4893,0
HRK,20080226,0.4851,0.4851,0.4851,0.4851,0
HRK,20080227,0.4863,0.4863,0.4863,0.4863,0
HRK,20080228,0.4842,0.4842,0.4842,0.4842,0
HRK,20080229,0.4842,0.4842,0.4842,0.4842,0
HRK,20080303,0.4861,0.4861,0.4861,0.4861,0
HRK,20080304,0.4844,0.4844,0.4844,0.4844,0
HRK,20080305,0.4848,0.4848,0.4848,0.4848,0
HRK,20080306,0.4863,0.4863,0.4863,0.4863,0
HRK,20080307,0.4904,0.4904,0.4904,0.4904,0
HRK,20080310,0.4905,0.4905,0.4905,0.4905,0
HRK,20080311,0.4871,0.4871,0.4871,0.4871,0
HRK,20080312,0.4855,0.4855,0.4855,0.4855,0
HRK,20080313,0.4884,0.4884,0.4884,0.4884,0
HRK,20080314,0.4862,0.4862,0.4862,0.4862,0
HRK,20080317,0.4904,0.4904,0.4904,0.4904,0
HRK,20080318,0.4882,0.4882,0.4882,0.4882,0
HRK,20080319,0.4874,0.4874,0.4874,0.4874,0
HRK,20080320,0.4865,0.4865,0.4865,0.4865,0
HRK,20080321,0.4866,0.4866,0.4866,0.4866,0
HRK,20080325,0.4859,0.4859,0.4859,0.4859,0
HRK,20080326,0.4867,0.4867,0.4867,0.4867,0
HRK,20080327,0.4855,0.4855,0.4855,0.4855,0
HRK,20080328,0.4853,0.4853,0.4853,0.4853,0
HRK,20080331,0.4850,0.4850,0.4850,0.4850,0
HRK,20080401,0.4827,0.4827,0.4827,0.4827,0
HRK,20080402,0.4803,0.4803,0.4803,0.4803,0
HRK,20080403,0.4785,0.4785,0.4785,0.4785,0
HRK,20080404,0.4786,0.4786,0.4786,0.4786,0
HRK,20080407,0.4762,0.4762,0.4762,0.4762,0
HRK,20080408,0.4768,0.4768,0.4768,0.4768,0
HRK,20080409,0.4760,0.4760,0.4760,0.4760,0
HRK,20080410,0.4756,0.4756,0.4756,0.4756,0
HRK,20080411,0.4709,0.4709,0.4709,0.4709,0
HRK,20080414,0.4720,0.4720,0.4720,0.4720,0
HRK,20080415,0.4698,0.4698,0.4698,0.4698,0
HRK,20080416,0.4698,0.4698,0.4698,0.4698,0
HRK,20080417,0.4727,0.4727,0.4727,0.4727,0
HRK,20080418,0.4726,0.4726,0.4726,0.4726,0
HRK,20080421,0.4722,0.4722,0.4722,0.4722,0
HRK,20080422,0.4706,0.4706,0.4706,0.4706,0
HRK,20080423,0.4689,0.4689,0.4689,0.4689,0
HRK,20080424,0.4703,0.4703,0.4703,0.4703,0
HRK,20080425,0.4729,0.4729,0.4729,0.4729,0
HRK,20080428,0.4738,0.4738,0.4738,0.4738,0
HRK,20080429,0.4744,0.4744,0.4744,0.4744,0
HRK,20080430,0.4760,0.4760,0.4760,0.4760,0
HRK,20080502,0.4755,0.4755,0.4755,0.4755,0
HRK,20080505,0.4740,0.4740,0.4740,0.4740,0
HRK,20080506,0.4738,0.4738,0.4738,0.4738,0
HRK,20080507,0.4723,0.4723,0.4723,0.4723,0
HRK,20080508,0.4713,0.4713,0.4713,0.4713,0
HRK,20080509,0.4693,0.4693,0.4693,0.4693,0
HRK,20080512,0.4678,0.4678,0.4678,0.4678,0
HRK,20080513,0.4667,0.4667,0.4667,0.4667,0
HRK,20080514,0.4680,0.4680,0.4680,0.4680,0
HRK,20080515,0.4690,0.4690,0.4690,0.4690,0
HRK,20080516,0.4673,0.4673,0.4673,0.4673,0
HRK,20080519,0.4666,0.4666,0.4666,0.4666,0
HRK,20080520,0.4685,0.4685,0.4685,0.4685,0
HRK,20080521,0.4670,0.4670,0.4670,0.4670,0
HRK,20080523,0.4703,0.4703,0.4703,0.4703,0
HRK,20080526,0.4692,0.4692,0.4692,0.4692,0
HRK,20080527,0.4689,0.4689,0.4689,0.4689,0
HRK,20080528,0.4687,0.4687,0.4687,0.4687,0
HRK,20080529,0.4666,0.4666,0.4666,0.4666,0
HRK,20080530,0.4661,0.4661,0.4661,0.4661,0
HRK,20080602,0.4669,0.4669,0.4669,0.4669,0
HRK,20080603,0.4656,0.4656,0.4656,0.4656,0
HRK,20080604,0.4656,0.4656,0.4656,0.4656,0
HRK,20080605,0.4650,0.4650,0.4650,0.4650,0
HRK,20080606,0.4675,0.4675,0.4675,0.4675,0
HRK,20080609,0.4681,0.4681,0.4681,0.4681,0
HRK,20080610,0.4659,0.4659,0.4659,0.4659,0
HRK,20080611,0.4652,0.4652,0.4652,0.4652,0
HRK,20080612,0.4672,0.4672,0.4672,0.4672,0
HRK,20080613,0.4680,0.4680,0.4680,0.4680,0
HRK,20080616,0.4674,0.4674,0.4674,0.4674,0
HRK,20080617,0.4672,0.4672,0.4672,0.4672,0
HRK,20080618,0.4660,0.4660,0.4660,0.4660,0
HRK,20080619,0.4648,0.4648,0.4648,0.4648,0
HRK,20080620,0.4644,0.4644,0.4644,0.4644,0
HRK,20080623,0.4643,0.4643,0.4643,0.4643,0
HRK,20080624,0.4640,0.4640,0.4640,0.4640,0
HRK,20080625,0.4636,0.4636,0.4636,0.4636,0
HRK,20080626,0.4634,0.4634,0.4634,0.4634,0
HRK,20080627,0.4649,0.4649,0.4649,0.4649,0
HRK,20080630,0.4633,0.4633,0.4633,0.4633,0
HRK,20080701,0.4633,0.4633,0.4633,0.4633,0
HRK,20080702,0.4632,0.4632,0.4632,0.4632,0
HRK,20080703,0.4634,0.4634,0.4634,0.4634,0
HRK,20080704,0.4597,0.4597,0.4597,0.4597,0
HRK,20080707,0.4579,0.4579,0.4579,0.4579,0
HRK,20080708,0.4564,0.4564,0.4564,0.4564,0
HRK,20080709,0.4534,0.4534,0.4534,0.4534,0
HRK,20080710,0.4522,0.4522,0.4522,0.4522,0
HRK,20080711,0.4517,0.4517,0.4517,0.4517,0
HRK,20080714,0.4503,0.4503,0.4503,0.4503,0
HRK,20080715,0.4510,0.4510,0.4510,0.4510,0
HRK,20080716,0.4470,0.4470,0.4470,0.4470,0
HRK,20080717,0.4462,0.4462,0.4462,0.4462,0
HRK,20080718,0.4458,0.4458,0.4458,0.4458,0
HRK,20080721,0.4453,0.4453,0.4453,0.4453,0
HRK,20080722,0.4465,0.4465,0.4465,0.4465,0
HRK,20080723,0.4517,0.4517,0.4517,0.4517,0
HRK,20080724,0.4485,0.4485,0.4485,0.4485,0
HRK,20080725,0.4441,0.4441,0.4441,0.4441,0
HRK,20080728,0.4443,0.4443,0.4443,0.4443,0
HRK,20080729,0.4469,0.4469,0.4469,0.4469,0
HRK,20080730,0.4438,0.4438,0.4438,0.4438,0
HRK,20080731,0.4438,0.4438,0.4438,0.4438,0
HRK,20080801,0.4450,0.4450,0.4450,0.4450,0
HRK,20080804,0.4447,0.4447,0.4447,0.4447,0
HRK,20080805,0.4460,0.4460,0.4460,0.4460,0
HRK,20080806,0.4471,0.4471,0.4471,0.4471,0
HRK,20080807,0.4499,0.4499,0.4499,0.4499,0
HRK,20080808,0.4521,0.4521,0.4521,0.4521,0
HRK,20080811,0.4520,0.4520,0.4520,0.4520,0
HRK,20080812,0.4556,0.4556,0.4556,0.4556,0
HRK,20080813,0.4537,0.4537,0.4537,0.4537,0
HRK,20080814,0.4609,0.4609,0.4609,0.4609,0
HRK,20080818,0.4626,0.4626,0.4626,0.4626,0
HRK,20080819,0.4640,0.4640,0.4640,0.4640,0
HRK,20080820,0.4611,0.4611,0.4611,0.4611,0
HRK,20080821,0.4627,0.4627,0.4627,0.4627,0
HRK,20080822,0.4609,0.4609,0.4609,0.4609,0
HRK,20080825,0.4620,0.4620,0.4620,0.4620,0
HRK,20080826,0.4619,0.4619,0.4619,0.4619,0
HRK,20080827,0.4646,0.4646,0.4646,0.4646,0
HRK,20080828,0.4676,0.4676,0.4676,0.4676,0
HRK,20080829,0.4685,0.4685,0.4685,0.4685,0
HRK,20080901,0.4667,0.4667,0.4667,0.4667,0
HRK,20080902,0.4699,0.4699,0.4699,0.4699,0
HRK,20080903,0.4713,0.4713,0.4713,0.4713,0
HRK,20080904,0.4736,0.4736,0.4736,0.4736,0
HRK,20080905,0.4810,0.4810,0.4810,0.4810,0
HRK,20080908,0.4860,0.4860,0.4860,0.4860,0
HRK,20080909,0.4858,0.4858,0.4858,0.4858,0
HRK,20080910,0.4861,0.4861,0.4861,0.4861,0
HRK,20080911,0.4789,0.4789,0.4789,0.4789,0
HRK,20080912,0.4723,0.4723,0.4723,0.4723,0
HRK,20080915,0.4729,0.4729,0.4729,0.4729,0
HRK,20080916,0.4763,0.4763,0.4763,0.4763,0
HRK,20080917,0.4691,0.4691,0.4691,0.4691,0
HRK,20080918,0.4740,0.4740,0.4740,0.4740,0
HRK,20080919,0.4663,0.4663,0.4663,0.4663,0
HRK,20080922,0.4604,0.4604,0.4604,0.4604,0
HRK,20080923,0.4650,0.4650,0.4650,0.4650,0
HRK,20080924,0.4648,0.4648,0.4648,0.4648,0
HRK,20080925,0.4680,0.4680,0.4680,0.4680,0
HRK,20080926,0.4724,0.4724,0.4724,0.4724,0
HRK,20080929,0.4777,0.4777,0.4777,0.4777,0
HRK,20080930,0.4797,0.4797,0.4797,0.4797,0
HRK,20081001,0.4755,0.4755,0.4755,0.4755,0
HRK,20081002,0.4778,0.4778,0.4778,0.4778,0
HRK,20081003,0.4800,0.4800,0.4800,0.4800,0
HRK,20081006,0.4822,0.4822,0.4822,0.4822,0
HRK,20081007,0.4844,0.4844,0.4844,0.4844,0
HRK,20081008,0.4897,0.4897,0.4897,0.4897,0
HRK,20081009,0.4784,0.4784,0.4784,0.4784,0
HRK,20081010,0.4978,0.4978,0.4978,0.4978,0
HRK,20081013,0.4968,0.4968,0.4968,0.4968,0
HRK,20081014,0.4886,0.4886,0.4886,0.4886,0
HRK,20081015,0.4943,0.4943,0.4943,0.4943,0
HRK,20081016,0.4951,0.4951,0.4951,0.4951,0
HRK,20081017,0.4981,0.4981,0.4981,0.4981,0
HRK,20081020,0.4946,0.4946,0.4946,0.4946,0
HRK,20081021,0.5003,0.5003,0.5003,0.5003,0
HRK,20081022,0.5160,0.5160,0.5160,0.5160,0
HRK,20081023,0.5280,0.5280,0.5280,0.5280,0
HRK,20081024,0.5417,0.5417,0.5417,0.5417,0
HRK,20081027,0.5322,0.5322,0.5322,0.5322,0
HRK,20081028,0.5162,0.5162,0.5162,0.5162,0
HRK,20081029,0.5063,0.5063,0.5063,0.5063,0
HRK,20081030,0.4966,0.4966,0.4966,0.4966,0
HRK,20081031,0.5068,0.5068,0.5068,0.5068,0
HRK,20081103,0.4971,0.4971,0.4971,0.4971,0
HRK,20081104,0.4963,0.4963,0.4963,0.4963,0
