Name,Date,Open,High,Low,Close,Volume
IDR,20080103,2.6089,2.6089,2.6089,2.6089,0
IDR,20080104,2.6015,2.6015,2.6015,2.6015,0
IDR,20080107,2.5927,2.5927,2.5927,2.5927,0
IDR,20080108,2.5894,2.5894,2.5894,2.5894,0
IDR,20080109,2.5875,2.5875,2.5875,2.5875,0
IDR,20080110,2.5918,2.5918,2.5918,2.5918,0
IDR,20080111,2.5694,2.5694,2.5694,2.5694,0
IDR,20080114,2.5473,2.5473,2.5473,2.5473,0
IDR,20080115,2.5510,2.5510,2.5510,2.5510,0
IDR,20080116,2.5739,2.5739,2.5739,2.5739,0
IDR,20080117,2.6057,2.6057,2.6057,2.6057,0
IDR,20080118,2.6228,2.6228,2.6228,2.6228,0
IDR,20080121,2.6568,2.6568,2.6568,2.6568,0
IDR,20080122,2.6683,2.6683,2.6683,2.6683,0
IDR,20080123,2.6447,2.6447,2.6447,2.6447,0
IDR,20080124,2.6447,2.6447,2.6447,2.6447,0
IDR,20080125,2.6311,2.6311,2.6311,2.6311,0
IDR,20080128,2.6329,2.6329,2.6329,2.6329,0
IDR,20080129,2.6274,2.6274,2.6274,2.6274,0
IDR,20080130,2.6375,2.6375,2.6375,2.6375,0
IDR,20080131,2.6415,2.6415,2.6415,2.6415,0
IDR,20080201,2.6321,2.6321,2.6321,2.6321,0
IDR,20080204,2.6168,2.6168,2.6168,2.6168,0
IDR,20080205,2.6409,2.6409,2.6409,2.6409,0
IDR,20080206,2.6588,2.6588,2.6588,2.6588,0
IDR,20080207,2.6598,2.6598,2.6598,2.6598,0
IDR,20080208,2.7035,2.7035,2.7035,2.7035,0
IDR,20080211,2.6925,2.6925,2.6925,2.6925,0
IDR,20080212,2.6816,2.6816,2.6816,2.6816,0
IDR,20080213,2.6675,2.6675,2.6675,2.6675,0
IDR,20080214,2.6531,2.6531,2.6531,2.6531,0
IDR,20080215,2.6689,2.6689,2.6689,2.6689,0
IDR,20080218,2.6687,2.6687,2.6687,2.6687,0
IDR,20080219,2.6503,2.6503,2.6503,2.6503,0
IDR,20080220,2.6532,2.6532,2.6532,2.6532,0
IDR,20080221,2.6458,2.6458,2.6458,2.6458,0
IDR,20080222,2.6270,2.6270,2.6270,2.6270,0
IDR,20080225,2.6204,2.6204,2.6204,2.6204,0
IDR,20080226,2.6167,2.6167,2.6167,2.6167,0
IDR,20080227,2.6018,2.6018,2.6018,2.6018,0
IDR,20080228,2.5665,2.5665,2.5665,2.5665,0
IDR,20080229,2.5546,2.5546,2.5546,2.5546,0
IDR,20080303,2.5644,2.5644,2.5644,2.5644,0
IDR,20080304,2.5515,2.5515,2.5515,2.5515,0
IDR,20080305,2.5560,2.5560,2.5560,2.5560,0
IDR,20080306,2.5375,2.5375,2.5375,2.5375,0
IDR,20080307,2.5575,2.5575,2.5575,2.5575,0
IDR,20080310,2.5566,2.5566,2.5566,2.5566,0
IDR,20080311,2.5062,2.5062,2.5062,2.5062,0
IDR,20080312,2.4949,2.4949,2.4949,2.4949,0
IDR,20080313,2.4662,2.4662,2.4662,2.4662,0
IDR,20080314,2.4476,2.4476,2.4476,2.4476,0
IDR,20080317,2.4274,2.4274,2.4274,2.4274,0
IDR,20080318,2.4390,2.4390,2.4390,2.4390,0
IDR,20080319,2.4321,2.4321,2.4321,2.4321,0
IDR,20080320,2.4838,2.4838,2.4838,2.4838,0
IDR,20080321,2.4757,2.4757,2.4757,2.4757,0
IDR,20080325,2.4662,2.4662,2.4662,2.4662,0
IDR,20080326,2.4442,2.4442,2.4442,2.4442,0
IDR,20080327,2.4265,2.4265,2.4265,2.4265,0
IDR,20080328,2.4239,2.4239,2.4239,2.4239,0
IDR,20080331,2.4139,2.4139,2.4139,2.4139,0
IDR,20080401,2.4301,2.4301,2.4301,2.4301,0
IDR,20080402,2.4254,2.4254,2.4254,2.4254,0
IDR,20080403,2.4159,2.4159,2.4159,2.4159,0
IDR,20080404,2.3989,2.3989,2.3989,2.3989,0
IDR,20080407,2.3917,2.3917,2.3917,2.3917,0
IDR,20080408,2.3854,2.3854,2.3854,2.3854,0
IDR,20080409,2.3858,2.3858,2.3858,2.3858,0
IDR,20080410,2.3608,2.3608,2.3608,2.3608,0
IDR,20080411,2.3488,2.3488,2.3488,2.3488,0
IDR,20080414,2.3611,2.3611,2.3611,2.3611,0
IDR,20080415,2.3361,2.3361,2.3361,2.3361,0
IDR,20080416,2.3351,2.3351,2.3351,2.3351,0
IDR,20080417,2.3452,2.3452,2.3452,2.3452,0
IDR,20080418,2.3421,2.3421,2.3421,2.3421,0
IDR,20080421,2.3572,2.3572,2.3572,2.3572,0
IDR,20080422,2.3305,2.3305,2.3305,2.3305,0
IDR,20080423,2.3175,2.3175,2.3175,2.3175,0
IDR,20080424,2.3547,2.3547,2.3547,2.3547,0
IDR,20080425,2.3865,2.3865,2.3865,2.3865,0
IDR,20080428,2.3806,2.3806,2.3806,2.3806,0
IDR,20080429,2.3997,2.3997,2.3997,2.3997,0
IDR,20080430,2.4144,2.4144,2.4144,2.4144,0
IDR,20080502,2.4155,2.4155,2.4155,2.4155,0
IDR,20080505,2.4061,2.4061,2.4061,2.4061,0
IDR,20080506,2.4055,2.4055,2.4055,2.4055,0
IDR,20080507,2.3997,2.3997,2.3997,2.3997,0
IDR,20080508,2.4115,2.4115,2.4115,2.4115,0
IDR,20080509,2.3796,2.3796,2.3796,2.3796,0
IDR,20080512,2.3747,2.3747,2.3747,2.3747,0
IDR,20080513,2.3603,2.3603,2.3603,2.3603,0
IDR,20080514,2.3671,2.3671,2.3671,2.3671,0
IDR,20080515,2.3556,2.3556,2.3556,2.3556,0
IDR,20080516,2.3507,2.3507,2.3507,2.3507,0
IDR,20080519,2.3304,2.3304,2.3304,2.3304,0
IDR,20080520,2.3397,2.3397,2.3397,2.3397,0
IDR,20080521,2.3250,2.3250,2.3250,2.3250,0
IDR,20080523,2.3256,2.3256,2.3256,2.3256,0
IDR,20080526,2.3200,2.3200,2.3200,2.3200,0
IDR,20080527,2.3059,2.3059,2.3059,2.3059,0
