Name,Date,Open,High,Low,Close,Volume
MXN,20080103,0.2250,0.2250,0.2250,0.2250,0
MXN,20080104,0.2254,0.2254,0.2254,0.2254,0
MXN,20080107,0.2243,0.2243,0.2243,0.2243,0
MXN,20080108,0.2247,0.2247,0.2247,0.2247,0
MXN,20080109,0.2237,0.2237,0.2237,0.2237,0
MXN,20080110,0.2235,0.2235,0.2235,0.2235,0
MXN,20080111,0.2212,0.2212,0.2212,0.2212,0
MXN,20080114,0.2215,0.2215,0.2215,0.2215,0
MXN,20080115,0.2206,0.2206,0.2206,0.2206,0
MXN,20080116,0.2215,0.2215,0.2215,0.2215,0
MXN,20080117,0.2250,0.2250,0.2250,0.2250,0
MXN,20080118,0.2267,0.2267,0.2267,0.2267,0
MXN,20080121,0.2292,0.2292,0.2292,0.2292,0
MXN,20080122,0.2301,0.2301,0.2301,0.2301,0
MXN,20080123,0.2271,0.2271,0.2271,0.2271,0
MXN,20080124,0.2270,0.2270,0.2270,0.2270,0
MXN,20080125,0.2252,0.2252,0.2252,0.2252,0
MXN,20080128,0.2265,0.2265,0.2265,0.2265,0
MXN,20080129,0.2255,0.2255,0.2255,0.2255,0
MXN,20080130,0.2259,0.2259,0.2259,0.2259,0
MXN,20080131,0.2251,0.2251,0.2251,0.2251,0
MXN,20080201,0.2236,0.2236,0.2236,0.2236,0
MXN,20080204,0.2230,0.2230,0.2230,0.2230,0
MXN,20080205,0.2240,0.2240,0.2240,0.2240,0
MXN,20080206,0.2267,0.2267,0.2267,0.2267,0
MXN,20080207,0.2268,0.2268,0.2268,0.2268,0
MXN,20080208,0.2315,0.2315,0.2315,0.2315,0
MXN,20080211,0.2316,0.2316,0.2316,0.2316,0
MXN,20080212,0.2311,0.2311,0.2311,0.2311,0
MXN,20080213,0.2296,0.2296,0.2296,0.2296,0
MXN,20080214,0.2285,0.2285,0.2285,0.2285,0
MXN,20080215,0.2275,0.2275,0.2275,0.2275,0
MXN,20080218,0.2274,0.2274,0.2274,0.2274,0
MXN,20080219,0.2261,0.2261,0.2261,0.2261,0
MXN,20080220,0.2259,0.2259,0.2259,0.2259,0
MXN,20080221,0.2248,0.2248,0.2248,0.2248,0
MXN,20080222,0.2229,0.2229,0.2229,0.2229,0
MXN,20080225,0.2234,0.2234,0.2234,0.2234,0
MXN,20080226,0.2211,0.2211,0.2211,0.2211,0
MXN,20080227,0.2191,0.2191,0.2191,0.2191,0
MXN,20080228,0.2179,0.2179,0.2179,0.2179,0
MXN,20080229,0.2169,0.2169,0.2169,0.2169,0
MXN,20080303,0.2172,0.2172,0.2172,0.2172,0
MXN,20080304,0.2167,0.2167,0.2167,0.2167,0
MXN,20080305,0.2170,0.2170,0.2170,0.2170,0
MXN,20080306,0.2155,0.2155,0.2155,0.2155,0
MXN,20080307,0.2141,0.2141,0.2141,0.2141,0
MXN,20080310,0.2142,0.2142,0.2142,0.2142,0
MXN,20080311,0.2123,0.2123,0.2123,0.2123,0
MXN,20080312,0.2128,0.2128,0.2128,0.2128,0
MXN,20080313,0.2106,0.2106,0.2106,0.2106,0
MXN,20080314,0.2106,0.2106,0.2106,0.2106,0
MXN,20080317,0.2110,0.2110,0.2110,0.2110,0
MXN,20080318,0.2083,0.2083,0.2083,0.2083,0
MXN,20080319,0.2096,0.2096,0.2096,0.2096,0
MXN,20080320,0.2134,0.2134,0.2134,0.2134,0
MXN,20080321,0.2133,0.2133,0.2133,0.2133,0
MXN,20080325,0.2125,0.2125,0.2125,0.2125,0
MXN,20080326,0.2101,0.2101,0.2101,0.2101,0
MXN,20080327,0.2090,0.2090,0.2090,0.2090,0
MXN,20080328,0.2088,0.2088,0.2088,0.2088,0
MXN,20080331,0.2083,0.2083,0.2083,0.2083,0
MXN,20080401,0.2105,0.2105,0.2105,0.2105,0
MXN,20080402,0.2117,0.2117,0.2117,0.2117,0
MXN,20080403,0.2114,0.2114,0.2114,0.2114,0
MXN,20080404,0.2100,0.2100,0.2100,0.2100,0
MXN,20080407,0.2091,0.2091,0.2091,0.2091,0
MXN,20080408,0.2085,0.2085,0.2085,0.2085,0
MXN,20080409,0.2082,0.2082,0.2082,0.2082,0
MXN,20080410,0.2054,0.2054,0.2054,0.2054,0
MXN,20080411,0.2050,0.2050,0.2050,0.2050,0
MXN,20080414,0.2065,0.2065,0.2065,0.2065,0
MXN,20080415,0.2056,0.2056,0.2056,0.2056,0
MXN,20080416,0.2055,0.2055,0.2055,0.2055,0
MXN,20080417,0.2055,0.2055,0.2055,0.2055,0
MXN,20080418,0.2053,0.2053,0.2053,0.2053,0
MXN,20080421,0.2064,0.2064,0.2064,0.2064,0
MXN,20080422,0.2034,0.2034,0.2034,0.2034,0
MXN,20080423,0.2034,0.2034,0.2034,0.2034,0
MXN,20080424,0.2073,0.2073,0.2073,0.2073,0
MXN,20080425,0.2100,0.2100,0.2100,0.2100,0
MXN,20080428,0.2102,0.2102,0.2102,0.2102,0
MXN,20080429,0.2111,0.2111,0.2111,0.2111,0
MXN,20080430,0.2115,0.2115,0.2115,0.2115,0
MXN,20080502,0.2127,0.2127,0.2127,0.2127,0
MXN,20080505,0.2121,0.2121,0.2121,0.2121,0
MXN,20080506,0.2120,0.2120,0.2120,0.2120,0
MXN,20080507,0.2111,0.2111,0.2111,0.2111,0
MXN,20080508,0.2112,0.2112,0.2112,0.2112,0
MXN,20080509,0.2082,0.2082,0.2082,0.2082,0
MXN,20080512,0.2082,0.2082,0.2082,0.2082,0
MXN,20080513,0.2082,0.2082,0.2082,0.2082,0
MXN,20080514,0.2099,0.2099,0.2099,0.2099,0
MXN,20080515,0.2088,0.2088,0.2088,0.2088,0
MXN,20080516,0.2093,0.2093,0.2093,0.2093,0
MXN,20080519,0.2084,0.2084,0.2084,0.2084,0
MXN,20080520,0.2094,0.2094,0.2094,0.2094,0
MXN,20080521,0.2069,0.2069,0.2069,0.2069,0
MXN,20080523,0.2090,0.2090,0.2090,0.2090,0
MXN,20080526,0.2082,0.2082,0.2082,0.2082,0
MXN,20080527,0.2074,0.2074,0.2074,0.2074,0
MXN,20080528,0.2082,0.2082,0.2082,0.2082,0
MXN,20080529,0.2105,0.2105,0.2105,0.2105,0
MXN,20080530,0.2111,0.2111,0.2111,0.2111,0
MXN,20080602,0.2104,0.2104,0.2104,0.2104,0
MXN,20080603,0.2088,0.2088,0.2088,0.2088,0
MXN,20080604,0.2118,0.2118,0.2118,0.2118,0
MXN,20080605,0.2118,0.2118,0.2118,0.2118,0
MXN,20080606,0.2110,0.2110,0.2110,0.2110,0
MXN,20080609,0.2096,0.2096,0.2096,0.2096,0
MXN,20080610,0.2098,0.2098,0.2098,0.2098,0
MXN,20080611,0.2092,0.2092,0.2092,0.2092,0
MXN,20080612,0.2101,0.2101,0.2101,0.2101,0
MXN,20080613,0.2124,0.2124,0.2124,0.2124,0
MXN,20080616,0.2119,0.2119,0.2119,0.2119,0
MXN,20080617,0.2121,0.2121,0.2121,0.2121,0
MXN,20080618,0.2115,0.2115,0.2115,0.2115,0
MXN,20080619,0.2106,0.2106,0.2106,0.2106,0
MXN,20080620,0.2098,0.2098,0.2098,0.2098,0
MXN,20080623,0.2109,0.2109,0.2109,0.2109,0
MXN,20080624,0.2093,0.2093,0.2093,0.2093,0
MXN,20080625,0.2093,0.2093,0.2093,0.2093,0
MXN,20080626,0.2085,0.2085,0.2085,0.2085,0
MXN,20080627,0.2073,0.2073,0.2073,0.2073,0
MXN,20080630,0.2060,0.2060,0.2060,0.2060,0
MXN,20080701,0.2066,0.2066,0.2066,0.2066,0
MXN,20080702,0.2049,0.2049,0.2049,0.2049,0
MXN,20080703,0.2032,0.2032,0.2032,0.2032,0
MXN,20080704,0.2050,0.2050,0.2050,0.2050,0
MXN,20080707,0.2049,0.2049,0.2049,0.2049,0
MXN,20080708,0.2032,0.2032,0.2032,0.2032,0
MXN,20080709,0.2034,0.2034,0.2034,0.2034,0
MXN,20080710,0.2022,0.2022,0.2022,0.2022,0
MXN,20080711,0.2009,0.2009,0.2009,0.2009,0
MXN,20080714,0.1993,0.1993,0.1993,0.1993,0
MXN,20080715,0.1980,0.1980,0.1980,0.1980,0
MXN,20080716,0.1967,0.1967,0.1967,0.1967,0
MXN,20080717,0.1978,0.1978,0.1978,0.1978,0
MXN,20080718,0.1985,0.1985,0.1985,0.1985,0
MXN,20080721,0.1986,0.1986,0.1986,0.1986,0
MXN,20080722,0.1996,0.1996,0.1996,0.1996,0
