Name,Date,Open,High,Low,Close,Volume
NZD,20080103,1.9039,1.9039,1.9039,1.9039,0
NZD,20080104,1.8952,1.8952,1.8952,1.8952,0
NZD,20080107,1.8783,1.8783,1.8783,1.8783,0
NZD,20080108,1.8833,1.8833,1.8833,1.8833,0
NZD,20080109,1.8819,1.8819,1.8819,1.8819,0
NZD,20080110,1.8998,1.8998,1.8998,1.8998,0
NZD,20080111,1.9007,1.9007,1.9007,1.9007,0
NZD,20080114,1.8994,1.8994,1.8994,1.8994,0
NZD,20080115,1.9012,1.9012,1.9012,1.9012,0
NZD,20080116,1.8712,1.8712,1.8712,1.8712,0
NZD,20080117,1.9019,1.9019,1.9019,1.9019,0
NZD,20080118,1.8931,1.8931,1.8931,1.8931,0
NZD,20080121,1.8946,1.8946,1.8946,1.8946,0
NZD,20080122,1.8887,1.8887,1.8887,1.8887,0
NZD,20080123,1.8996,1.8996,1.8996,1.8996,0
NZD,20080124,1.8992,1.8992,1.8992,1.8992,0
NZD,20080125,1.8945,1.8945,1.8945,1.8945,0
NZD,20080128,1.9039,1.9039,1.9039,1.9039,0
NZD,20080129,1.9079,1.9079,1.9079,1.9079,0
NZD,20080130,1.9037,1.9037,1.9037,1.9037,0
NZD,20080131,1.9150,1.9150,1.9150,1.9150,0
NZD,20080201,1.9149,1.9149,1.9149,1.9149,0
NZD,20080204,1.9115,1.9115,1.9115,1.9115,0
NZD,20080205,1.9243,1.9243,1.9243,1.9243,0
NZD,20080206,1.9174,1.9174,1.9174,1.9174,0
NZD,20080207,1.9401,1.9401,1.9401,1.9401,0
NZD,20080208,1.9660,1.9660,1.9660,1.9660,0
NZD,20080211,1.9682,1.9682,1.9682,1.9682,0
NZD,20080212,1.9632,1.9632,1.9632,1.9632,0
NZD,20080213,1.9403,1.9403,1.9403,1.9403,0
NZD,20080214,1.9321,1.9321,1.9321,1.9321,0
NZD,20080215,1.9333,1.9333,1.9333,1.9333,0
NZD,20080218,1.9392,1.9392,1.9392,1.9392,0
NZD,20080219,1.9407,1.9407,1.9407,1.9407,0
NZD,20080220,1.9410,1.9410,1.9410,1.9410,0
NZD,20080221,1.9389,1.9389,1.9389,1.9389,0
NZD,20080222,1.9443,1.9443,1.9443,1.9443,0
NZD,20080225,1.9457,1.9457,1.9457,1.9457,0
NZD,20080226,1.9283,1.9283,1.9283,1.9283,0
NZD,20080227,1.9265,1.9265,1.9265,1.9265,0
NZD,20080228,1.9010,1.9010,1.9010,1.9010,0
NZD,20080229,1.8832,1.8832,1.8832,1.8832,0
NZD,20080303,1.8535,1.8535,1.8535,1.8535,0
NZD,20080304,1.8626,1.8626,1.8626,1.8626,0
NZD,20080305,1.8435,1.8435,1.8435,1.8435,0
NZD,20080306,1.8517,1.8517,1.8517,1.8517,0
NZD,20080307,1.8483,1.8483,1.8483,1.8483,0
