Name,Date,Open,High,Low,Close,Volume
SGD,20080103,1.7136,1.7136,1.7136,1.7136,0
SGD,20080104,1.7115,1.7115,1.7115,1.7115,0
SGD,20080107,1.7068,1.7068,1.7068,1.7068,0
SGD,20080108,1.7091,1.7091,1.7091,1.7091,0
SGD,20080109,1.7074,1.7074,1.7074,1.7074,0
SGD,20080110,1.7071,1.7071,1.7071,1.7071,0
SGD,20080111,1.6921,1.6921,1.6921,1.6921,0
SGD,20080114,1.6830,1.6830,1.6830,1.6830,0
SGD,20080115,1.6831,1.6831,1.6831,1.6831,0
SGD,20080116,1.6986,1.6986,1.6986,1.6986,0
SGD,20080117,1.7172,1.7172,1.7172,1.7172,0
SGD,20080118,1.7262,1.7262,1.7262,1.7262,0
SGD,20080121,1.7371,1.7371,1.7371,1.7371,0
SGD,20080122,1.7471,1.7471,1.7471,1.7471,0
SGD,20080123,1.7300,1.7300,1.7300,1.7300,0
SGD,20080124,1.7304,1.7304,1.7304,1.7304,0
SGD,20080125,1.7247,1.7247,1.7247,1.7247,0
SGD,20080128,1.7346,1.7346,1.7346,1.7346,0
SGD,20080129,1.7270,1.7270,1.7270,1.7270,0
SGD,20080130,1.7252,1.7252,1.7252,1.7252,0
SGD,20080131,1.7242,1.7242,1.7242,1.7242,0
SGD,20080201,1.7112,1.7112,1.7112,1.7112,0
SGD,20080204,1.7021,1.7021,1.7021,1.7021,0
SGD,20080205,1.7158,1.7158,1.7158,1.7158,0
SGD,20080206,1.7320,1.7320,1.7320,1.7320,0
SGD,20080207,1.7365,1.7365,1.7365,1.7365,0
SGD,20080208,1.7595,1.7595,1.7595,1.7595,0
SGD,20080211,1.7569,1.7569,1.7569,1.7569,0
SGD,20080212,1.7555,1.7555,1.7555,1.7555,0
SGD,20080213,1.7436,1.7436,1.7436,1.7436,0
SGD,20080214,1.7318,1.7318,1.7318,1.7318,0
SGD,20080215,1.7315,1.7315,1.7315,1.7315,0
SGD,20080218,1.7327,1.7327,1.7327,1.7327,0
SGD,20080219,1.7195,1.7195,1.7195,1.7195,0
SGD,20080220,1.7226,1.7226,1.7226,1.7226,0
