Name,Date,Open,High,Low,Close,Volume
ZAR,20030102,0.4359,0.4359,0.4359,0.4359,0
ZAR,20030103,0.4359,0.4359,0.4359,0.4359,0
ZAR,20030106,0.4359,0.4359,0.4359,0.4359,0
ZAR,20030107,0.4517,0.4517,0.4517,0.4517,0
ZAR,20030108,0.4444,0.4444,0.4444,0.4444,0
ZAR,20030109,0.4489,0.4489,0.4489,0.4489,0
ZAR,20030110,0.4478,0.4478,0.4478,0.4478,0
ZAR,20030113,0.4458,0.4458,0.4458,0.4458,0
ZAR,20030114,0.4392,0.4392,0.4392,0.4392,0
ZAR,20030115,0.4318,0.4318,0.4318,0.4318,0
ZAR,20030116,0.4292,0.4292,0.4292,0.4292,0
ZAR,20030117,0.4311,0.4311,0.4311,0.4311,0
ZAR,20030120,0.4310,0.4310,0.4310,0.4310,0
ZAR,20030121,0.4288,0.4288,0.4288,0.4288,0
ZAR,20030122,0.4264,0.4264,0.4264,0.4264,0
ZAR,20030123,0.4421,0.4421,0.4421,0.4421,0
ZAR,20030124,0.4445,0.4445,0.4445,0.4445,0
ZAR,20030127,0.4412,0.4412,0.4412,0.4412,0
ZAR,20030128,0.4408,0.4408,0.4408,0.4408,0
ZAR,20030129,0.4343,0.4343,0.4343,0.4343,0
ZAR,20030130,0.4410,0.4410,0.4410,0.4410,0
ZAR,20030131,0.4442,0.4442,0.4442,0.4442,0
ZAR,20030203,0.4479,0.4479,0.4479,0.4479,0
ZAR,20030204,0.4534,0.4534,0.4534,0.4534,0
ZAR,20030205,0.4584,0.4584,0.4584,0.4584,0
ZAR,20030206,0.4561,0.4561,0.4561,0.4561,0
ZAR,20030207,0.4567,0.4567,0.4567,0.4567,0
ZAR,20030210,0.4596,0.4596,0.4596,0.4596,0
ZAR,20030211,0.4536,0.4536,0.4536,0.4536,0
ZAR,20030212,0.4581,0.4581,0.4581,0.4581,0
ZAR,20030213,0.4618,0.4618,0.4618,0.4618,0
ZAR,20030214,0.4636,0.4636,0.4636,0.4636,0
ZAR,20030217,0.4617,0.4617,0.4617,0.4617,0
ZAR,20030218,0.4589,0.4589,0.4589,0.4589,0
ZAR,20030219,0.4603,0.4603,0.4603,0.4603,0
ZAR,20030220,0.4738,0.4738,0.4738,0.4738,0
ZAR,20030221,0.4796,0.4796,0.4796,0.4796,0
ZAR,20030224,0.4806,0.4806,0.4806,0.4806,0
ZAR,20030225,0.4791,0.4791,0.4791,0.4791,0
ZAR,20030226,0.4809,0.4809,0.4809,0.4809,0
ZAR,20030227,0.4783,0.4783,0.4783,0.4783,0
ZAR,20030228,0.4837,0.4837,0.4837,0.4837,0
ZAR,20030303,0.4902,0.4902,0.4902,0.4902,0
ZAR,20030304,0.4950,0.4950,0.4950,0.4950,0
ZAR,20030305,0.4962,0.4962,0.4962,0.4962,0
ZAR,20030306,0.4885,0.4885,0.4885,0.4885,0
ZAR,20030307,0.4871,0.4871,0.4871,0.4871,0
