Name,Date,Open,High,Low,Close,Volume
ALL038,20160118,100.00,100.00,100.00,100.00,0
ALL038,20160119,100.00,100.00,100.00,100.00,0
ALL038,20160120,100.00,100.00,100.00,100.00,0
ALL038,20160121,100.01,100.01,100.01,100.01,0
ALL038,20160122,100.01,100.01,100.01,100.01,0
ALL038,20160125,100.02,100.02,100.02,100.02,0
ALL038,20160126,100.03,100.03,100.03,100.03,0
ALL038,20160127,100.03,100.03,100.03,100.03,0
ALL038,20160128,100.03,100.03,100.03,100.03,0
ALL038,20160129,100.04,100.04,100.04,100.04,0
ALL038,20160201,100.05,100.05,100.05,100.05,0
ALL038,20160202,100.06,100.06,100.06,100.06,0
ALL038,20160203,100.06,100.06,100.06,100.06,0
ALL038,20160204,100.06,100.06,100.06,100.06,0
ALL038,20160205,100.07,100.07,100.07,100.07,0
ALL038,20160208,100.08,100.08,100.08,100.08,0
ALL038,20160209,100.08,100.08,100.08,100.08,0
ALL038,20160210,100.08,100.08,100.08,100.08,0
ALL038,20160211,100.08,100.08,100.08,100.08,0
ALL038,20160212,100.09,100.09,100.09,100.09,0
ALL038,20160215,100.10,100.10,100.10,100.10,0
ALL038,20160216,100.10,100.10,100.10,100.10,0
ALL038,20160217,100.10,100.10,100.10,100.10,0
ALL038,20160218,100.11,100.11,100.11,100.11,0
ALL038,20160219,100.11,100.11,100.11,100.11,0
ALL038,20160222,100.12,100.12,100.12,100.12,0
ALL038,20160223,100.13,100.13,100.13,100.13,0
ALL038,20160224,100.13,100.13,100.13,100.13,0
ALL038,20160225,100.13,100.13,100.13,100.13,0
ALL038,20160226,100.13,100.13,100.13,100.13,0
ALL038,20160229,100.15,100.15,100.15,100.15,0
ALL038,20160301,100.15,100.15,100.15,100.15,0
ALL038,20160302,100.14,100.14,100.14,100.14,0
ALL038,20160303,100.14,100.14,100.14,100.14,0
ALL038,20160304,100.15,100.15,100.15,100.15,0
ALL038,20160307,100.16,100.16,100.16,100.16,0
ALL038,20160308,100.16,100.16,100.16,100.16,0
ALL038,20160309,100.16,100.16,100.16,100.16,0
ALL038,20160310,100.17,100.17,100.17,100.17,0
ALL038,20160311,100.17,100.17,100.17,100.17,0
ALL038,20160314,100.18,100.18,100.18,100.18,0
ALL038,20160315,100.18,100.18,100.18,100.18,0
ALL038,20160316,100.18,100.18,100.18,100.18,0
ALL038,20160317,100.19,100.19,100.19,100.19,0
ALL038,20160318,100.19,100.19,100.19,100.19,0
ALL038,20160321,100.20,100.20,100.20,100.20,0
ALL038,20160322,100.20,100.20,100.20,100.20,0
ALL038,20160323,100.20,100.20,100.20,100.20,0
ALL038,20160324,100.21,100.21,100.21,100.21,0
ALL038,20160325,100.21,100.21,100.21,100.21,0
ALL038,20160329,100.22,100.22,100.22,100.22,0
ALL038,20160330,100.22,100.22,100.22,100.22,0
