Name,Date,Open,High,Low,Close,Volume
ALT022,20130529,100.00,100.00,100.00,100.00,0
ALT022,20130531,100.00,100.00,100.00,100.00,0
ALT022,20130603,99.97,99.97,99.97,99.97,0
ALT022,20130604,99.97,99.97,99.97,99.97,0
ALT022,20130605,99.96,99.96,99.96,99.96,0
ALT022,20130606,99.95,99.95,99.95,99.95,0
ALT022,20130607,99.95,99.95,99.95,99.95,0
ALT022,20130610,99.92,99.92,99.92,99.92,0
ALT022,20130611,99.92,99.92,99.92,99.92,0
ALT022,20130612,99.92,99.92,99.92,99.92,0
ALT022,20130613,99.92,99.92,99.92,99.92,0
ALT022,20130614,101.01,101.01,101.01,101.01,0
ALT022,20130617,101.26,101.26,101.26,101.26,0
ALT022,20130618,101.20,101.20,101.20,101.20,0
ALT022,20130619,101.22,101.22,101.22,101.22,0
ALT022,20130620,101.06,101.06,101.06,101.06,0
ALT022,20130621,101.05,101.05,101.05,101.05,0
ALT022,20130624,101.03,101.03,101.03,101.03,0
ALT022,20130625,101.03,101.03,101.03,101.03,0
ALT022,20130626,100.98,100.98,100.98,100.98,0
ALT022,20130627,100.98,100.98,100.98,100.98,0
ALT022,20130628,100.98,100.98,100.98,100.98,0
ALT022,20130701,101.03,101.03,101.03,101.03,0
ALT022,20130702,101.10,101.10,101.10,101.10,0
ALT022,20130703,101.18,101.18,101.18,101.18,0
ALT022,20130704,101.18,101.18,101.18,101.18,0
ALT022,20130705,101.18,101.18,101.18,101.18,0
ALT022,20130708,101.18,101.18,101.18,101.18,0
ALT022,20130709,101.19,101.19,101.19,101.19,0
ALT022,20130710,101.19,101.19,101.19,101.19,0
ALT022,20130711,101.18,101.18,101.18,101.18,0
ALT022,20130712,101.18,101.18,101.18,101.18,0
ALT022,20130715,101.17,101.17,101.17,101.17,0
ALT022,20130716,101.17,101.17,101.17,101.17,0
ALT022,20130717,101.17,101.17,101.17,101.17,0
ALT022,20130718,101.17,101.17,101.17,101.17,0
ALT022,20130719,101.66,101.66,101.66,101.66,0
ALT022,20130722,101.66,101.66,101.66,101.66,0
ALT022,20130723,101.66,101.66,101.66,101.66,0
ALT022,20130724,101.65,101.65,101.65,101.65,0
ALT022,20130725,101.65,101.65,101.65,101.65,0
ALT022,20130726,101.75,101.75,101.75,101.75,0
ALT022,20130729,101.74,101.74,101.74,101.74,0
ALT022,20130730,101.83,101.83,101.83,101.83,0
ALT022,20130731,101.85,101.85,101.85,101.85,0
ALT022,20130801,101.95,101.95,101.95,101.95,0
ALT022,20130802,102.01,102.01,102.01,102.01,0
ALT022,20130805,102.55,102.55,102.55,102.55,0
ALT022,20130806,102.78,102.78,102.78,102.78,0
ALT022,20130807,102.67,102.67,102.67,102.67,0
ALT022,20130808,102.99,102.99,102.99,102.99,0
ALT022,20130809,103.47,103.47,103.47,103.47,0
ALT022,20130812,104.78,104.78,104.78,104.78,0
ALT022,20130813,105.44,105.44,105.44,105.44,0
ALT022,20130814,105.54,105.54,105.54,105.54,0
ALT022,20130816,105.68,105.68,105.68,105.68,0
ALT022,20130819,105.57,105.57,105.57,105.57,0
ALT022,20130820,105.62,105.62,105.62,105.62,0
ALT022,20130821,105.46,105.46,105.46,105.46,0
ALT022,20130822,105.60,105.60,105.60,105.60,0
ALT022,20130823,106.02,106.02,106.02,106.02,0
ALT022,20130826,106.16,106.16,106.16,106.16,0
ALT022,20130827,106.11,106.11,106.11,106.11,0
ALT022,20130828,105.73,105.73,105.73,105.73,0
ALT022,20130829,105.90,105.90,105.90,105.90,0
ALT022,20130830,106.21,106.21,106.21,106.21,0
ALT022,20130902,106.35,106.35,106.35,106.35,0
ALT022,20130903,106.47,106.47,106.47,106.47,0
ALT022,20130904,106.17,106.17,106.17,106.17,0
ALT022,20130905,105.24,105.24,105.24,105.24,0
ALT022,20130906,105.77,105.77,105.77,105.77,0
ALT022,20130909,106.37,106.37,106.37,106.37,0
ALT022,20130910,106.23,106.23,106.23,106.23,0
ALT022,20130911,106.75,106.75,106.75,106.75,0
ALT022,20130912,107.00,107.00,107.00,107.00,0
ALT022,20130913,107.11,107.11,107.11,107.11,0
ALT022,20130916,106.82,106.82,106.82,106.82,0
ALT022,20130917,106.91,106.91,106.91,106.91,0
ALT022,20130918,107.10,107.10,107.10,107.10,0
ALT022,20130919,107.33,107.33,107.33,107.33,0
ALT022,20130920,107.76,107.76,107.76,107.76,0
ALT022,20130923,107.78,107.78,107.78,107.78,0
ALT022,20130924,107.66,107.66,107.66,107.66,0
ALT022,20130925,107.92,107.92,107.92,107.92,0
ALT022,20130926,108.18,108.18,108.18,108.18,0
ALT022,20130927,108.40,108.40,108.40,108.40,0
ALT022,20130930,108.20,108.20,108.20,108.20,0
ALT022,20131001,108.14,108.14,108.14,108.14,0
ALT022,20131002,108.43,108.43,108.43,108.43,0
ALT022,20131003,108.59,108.59,108.59,108.59,0
ALT022,20131004,108.65,108.65,108.65,108.65,0
ALT022,20131007,108.44,108.44,108.44,108.44,0
ALT022,20131008,108.27,108.27,108.27,108.27,0
ALT022,20131009,108.29,108.29,108.29,108.29,0
ALT022,20131010,109.11,109.11,109.11,109.11,0
ALT022,20131011,109.92,109.92,109.92,109.92,0
ALT022,20131014,110.38,110.38,110.38,110.38,0
ALT022,20131015,110.73,110.73,110.73,110.73,0
ALT022,20131016,110.83,110.83,110.83,110.83,0
ALT022,20131017,111.24,111.24,111.24,111.24,0
ALT022,20131018,111.25,111.25,111.25,111.25,0
ALT022,20131021,111.82,111.82,111.82,111.82,0
ALT022,20131022,112.52,112.52,112.52,112.52,0
ALT022,20131023,112.35,112.35,112.35,112.35,0
ALT022,20131024,112.50,112.50,112.50,112.50,0
ALT022,20131025,112.88,112.88,112.88,112.88,0
ALT022,20131028,113.13,113.13,113.13,113.13,0
ALT022,20131029,113.37,113.37,113.37,113.37,0
ALT022,20131030,113.66,113.66,113.66,113.66,0
ALT022,20131031,113.47,113.47,113.47,113.47,0
ALT022,20131104,113.28,113.28,113.28,113.28,0
ALT022,20131105,113.21,113.21,113.21,113.21,0
ALT022,20131106,113.12,113.12,113.12,113.12,0
ALT022,20131107,113.21,113.21,113.21,113.21,0
ALT022,20131108,112.96,112.96,112.96,112.96,0
ALT022,20131112,112.99,112.99,112.99,112.99,0
ALT022,20131113,112.77,112.77,112.77,112.77,0
ALT022,20131114,112.98,112.98,112.98,112.98,0
ALT022,20131115,113.52,113.52,113.52,113.52,0
ALT022,20131118,114.18,114.18,114.18,114.18,0
ALT022,20131119,114.31,114.31,114.31,114.31,0
ALT022,20131120,114.21,114.21,114.21,114.21,0
ALT022,20131121,114.12,114.12,114.12,114.12,0
ALT022,20131122,114.14,114.14,114.14,114.14,0
ALT022,20131125,114.39,114.39,114.39,114.39,0
ALT022,20131126,114.08,114.08,114.08,114.08,0
ALT022,20131127,114.04,114.04,114.04,114.04,0
ALT022,20131128,114.04,114.04,114.04,114.04,0
ALT022,20131129,114.39,114.39,114.39,114.39,0
ALT022,20131202,113.90,113.90,113.90,113.90,0
ALT022,20131203,113.33,113.33,113.33,113.33,0
ALT022,20131204,112.93,112.93,112.93,112.93,0
ALT022,20131205,112.92,112.92,112.92,112.92,0
ALT022,20131206,112.88,112.88,112.88,112.88,0
ALT022,20131209,113.08,113.08,113.08,113.08,0
ALT022,20131210,113.11,113.11,113.11,113.11,0
