Name,Date,Open,High,Low,Close,Volume
BPS005,20130925,1000.00,1000.00,1000.00,1000.00,0
BPS005,20130926,1001.41,1001.41,1001.41,1001.41,0
BPS005,20130927,1001.45,1001.45,1001.45,1001.45,0
BPS005,20130930,1001.57,1001.57,1001.57,1001.57,0
BPS005,20131001,1004.05,1004.05,1004.05,1004.05,0
BPS005,20131002,1004.04,1004.04,1004.04,1004.04,0
BPS005,20131003,1004.16,1004.16,1004.16,1004.16,0
BPS005,20131004,1004.54,1004.54,1004.54,1004.54,0
BPS005,20131007,1004.94,1004.94,1004.94,1004.94,0
BPS005,20131008,1005.08,1005.08,1005.08,1005.08,0
BPS005,20131009,1005.22,1005.22,1005.22,1005.22,0
BPS005,20131010,1005.36,1005.36,1005.36,1005.36,0
BPS005,20131011,1005.51,1005.51,1005.51,1005.51,0
BPS005,20131014,1005.53,1005.53,1005.53,1005.53,0
BPS005,20131015,1006.03,1006.03,1006.03,1006.03,0
BPS005,20131016,1006.18,1006.18,1006.18,1006.18,0
BPS005,20131017,1005.84,1005.84,1005.84,1005.84,0
BPS005,20131018,1005.99,1005.99,1005.99,1005.99,0
BPS005,20131021,1006.80,1006.80,1006.80,1006.80,0
BPS005,20131022,1006.94,1006.94,1006.94,1006.94,0
BPS005,20131023,1007.10,1007.10,1007.10,1007.10,0
BPS005,20131024,1006.92,1006.92,1006.92,1006.92,0
BPS005,20131025,1007.40,1007.40,1007.40,1007.40,0
BPS005,20131028,1007.57,1007.57,1007.57,1007.57,0
BPS005,20131029,1007.75,1007.75,1007.75,1007.75,0
BPS005,20131030,1007.91,1007.91,1007.91,1007.91,0
BPS005,20131031,1008.17,1008.17,1008.17,1008.17,0
BPS005,20131104,1009.70,1009.70,1009.70,1009.70,0
BPS005,20131105,1009.48,1009.48,1009.48,1009.48,0
BPS005,20131106,1009.43,1009.43,1009.43,1009.43,0
BPS005,20131107,1009.34,1009.34,1009.34,1009.34,0
BPS005,20131108,1009.42,1009.42,1009.42,1009.42,0
BPS005,20131112,1009.88,1009.88,1009.88,1009.88,0
BPS005,20131113,1010.00,1010.00,1010.00,1010.00,0
BPS005,20131114,1010.11,1010.11,1010.11,1010.11,0
BPS005,20131115,1009.89,1009.89,1009.89,1009.89,0
BPS005,20131118,1010.46,1010.46,1010.46,1010.46,0
BPS005,20131119,1010.90,1010.90,1010.90,1010.90,0
BPS005,20131120,1011.00,1011.00,1011.00,1011.00,0
BPS005,20131121,1010.88,1010.88,1010.88,1010.88,0
BPS005,20131122,1011.05,1011.05,1011.05,1011.05,0
BPS005,20131125,1011.40,1011.40,1011.40,1011.40,0
BPS005,20131126,1011.52,1011.52,1011.52,1011.52,0
BPS005,20131127,1011.63,1011.63,1011.63,1011.63,0
BPS005,20131128,1011.74,1011.74,1011.74,1011.74,0
BPS005,20131129,1011.75,1011.75,1011.75,1011.75,0
BPS005,20131202,1013.81,1013.81,1013.81,1013.81,0
BPS005,20131203,1013.91,1013.91,1013.91,1013.91,0
BPS005,20131204,1013.76,1013.76,1013.76,1013.76,0
BPS005,20131205,1014.10,1014.10,1014.10,1014.10,0
BPS005,20131206,1014.20,1014.20,1014.20,1014.20,0
BPS005,20131209,1014.52,1014.52,1014.52,1014.52,0
BPS005,20131210,1014.53,1014.53,1014.53,1014.53,0
BPS005,20131211,1014.44,1014.44,1014.44,1014.44,0
BPS005,20131212,1014.53,1014.53,1014.53,1014.53,0
BPS005,20131213,1014.67,1014.67,1014.67,1014.67,0
BPS005,20131216,1014.97,1014.97,1014.97,1014.97,0
BPS005,20131217,1015.35,1015.35,1015.35,1015.35,0
BPS005,20131218,1015.38,1015.38,1015.38,1015.38,0
BPS005,20131219,1015.48,1015.48,1015.48,1015.48,0
BPS005,20131220,1015.44,1015.44,1015.44,1015.44,0
BPS005,20131223,1016.01,1016.01,1016.01,1016.01,0
BPS005,20131227,1016.31,1016.31,1016.31,1016.31,0
