Name,Date,Open,High,Low,Close,Volume
CAS003,20121108,100.00,100.00,100.00,100.00,0
CAS003,20121109,100.00,100.00,100.00,100.00,0
CAS003,20121112,99.99,99.99,99.99,99.99,0
CAS003,20121113,99.99,99.99,99.99,99.99,0
CAS003,20121114,99.99,99.99,99.99,99.99,0
CAS003,20121115,99.98,99.98,99.98,99.98,0
CAS003,20121116,99.98,99.98,99.98,99.98,0
CAS003,20121119,99.97,99.97,99.97,99.97,0
CAS003,20121120,99.97,99.97,99.97,99.97,0
CAS003,20121121,99.97,99.97,99.97,99.97,0
CAS003,20121122,99.97,99.97,99.97,99.97,0
CAS003,20121123,99.96,99.96,99.96,99.96,0
CAS003,20121126,99.96,99.96,99.96,99.96,0
CAS003,20121127,99.96,99.96,99.96,99.96,0
CAS003,20121128,99.96,99.96,99.96,99.96,0
CAS003,20121129,99.96,99.96,99.96,99.96,0
CAS003,20121130,99.96,99.96,99.96,99.96,0
CAS003,20121203,99.97,99.97,99.97,99.97,0
CAS003,20121204,99.97,99.97,99.97,99.97,0
CAS003,20121205,99.97,99.97,99.97,99.97,0
CAS003,20121206,99.97,99.97,99.97,99.97,0
CAS003,20121207,99.98,99.98,99.98,99.98,0
CAS003,20121210,99.98,99.98,99.98,99.98,0
CAS003,20121211,99.98,99.98,99.98,99.98,0
CAS003,20121212,99.98,99.98,99.98,99.98,0
CAS003,20121213,99.98,99.98,99.98,99.98,0
CAS003,20121214,99.99,99.99,99.99,99.99,0
CAS003,20121217,99.99,99.99,99.99,99.99,0
CAS003,20121218,99.99,99.99,99.99,99.99,0
CAS003,20121219,99.99,99.99,99.99,99.99,0
CAS003,20121220,99.99,99.99,99.99,99.99,0
CAS003,20121221,99.99,99.99,99.99,99.99,0
CAS003,20121227,100.00,100.00,100.00,100.00,0
CAS003,20121228,100.00,100.00,100.00,100.00,0
CAS003,20121231,100.00,100.00,100.00,100.00,0
CAS003,20130102,100.00,100.00,100.00,100.00,0
CAS003,20130103,100.00,100.00,100.00,100.00,0
CAS003,20130104,100.00,100.00,100.00,100.00,0
CAS003,20130107,100.01,100.01,100.01,100.01,0
CAS003,20130108,100.01,100.01,100.01,100.01,0
CAS003,20130109,100.01,100.01,100.01,100.01,0
CAS003,20130110,100.01,100.01,100.01,100.01,0
CAS003,20130111,100.01,100.01,100.01,100.01,0
CAS003,20130114,100.01,100.01,100.01,100.01,0
CAS003,20130115,100.01,100.01,100.01,100.01,0
CAS003,20130116,100.01,100.01,100.01,100.01,0
CAS003,20130117,100.01,100.01,100.01,100.01,0
CAS003,20130118,100.01,100.01,100.01,100.01,0
CAS003,20130121,100.01,100.01,100.01,100.01,0
CAS003,20130122,100.01,100.01,100.01,100.01,0
CAS003,20130123,100.00,100.00,100.00,100.00,0
CAS003,20130124,100.00,100.00,100.00,100.00,0
CAS003,20130125,100.01,100.01,100.01,100.01,0
CAS003,20130128,97.91,97.91,97.91,97.91,0
CAS003,20130129,98.43,98.43,98.43,98.43,0
CAS003,20130130,96.63,96.63,96.63,96.63,0
CAS003,20130131,97.18,97.18,97.18,97.18,0
CAS003,20130201,98.43,98.43,98.43,98.43,0
CAS003,20130204,98.05,98.05,98.05,98.05,0
CAS003,20130205,98.10,98.10,98.10,98.10,0
CAS003,20130206,98.20,98.20,98.20,98.20,0
CAS003,20130207,97.05,97.05,97.05,97.05,0
CAS003,20130208,97.90,97.90,97.90,97.90,0
CAS003,20130211,96.81,96.81,96.81,96.81,0
CAS003,20130212,97.72,97.72,97.72,97.72,0
CAS003,20130213,97.81,97.81,97.81,97.81,0
CAS003,20130214,98.09,98.09,98.09,98.09,0
CAS003,20130215,98.66,98.66,98.66,98.66,0
CAS003,20130218,98.55,98.55,98.55,98.55,0
CAS003,20130219,98.32,98.32,98.32,98.32,0
CAS003,20130220,97.63,97.63,97.63,97.63,0
CAS003,20130221,97.75,97.75,97.75,97.75,0
CAS003,20130222,96.49,96.49,96.49,96.49,0
CAS003,20130225,96.45,96.45,96.45,96.45,0
CAS003,20130226,97.32,97.32,97.32,97.32,0
CAS003,20130227,98.15,98.15,98.15,98.15,0
CAS003,20130228,99.06,99.06,99.06,99.06,0
CAS003,20130301,99.76,99.76,99.76,99.76,0
CAS003,20130304,100.79,100.79,100.79,100.79,0
CAS003,20130305,101.40,101.40,101.40,101.40,0
CAS003,20130306,102.22,102.22,102.22,102.22,0
CAS003,20130307,102.32,102.32,102.32,102.32,0
CAS003,20130308,102.88,102.88,102.88,102.88,0
CAS003,20130311,102.44,102.44,102.44,102.44,0
CAS003,20130312,103.28,103.28,103.28,103.28,0
CAS003,20130313,102.79,102.79,102.79,102.79,0
CAS003,20130314,103.03,103.03,103.03,103.03,0
CAS003,20130315,103.68,103.68,103.68,103.68,0
CAS003,20130318,104.25,104.25,104.25,104.25,0
CAS003,20130319,104.31,104.31,104.31,104.31,0
CAS003,20130320,103.94,103.94,103.94,103.94,0
CAS003,20130321,105.05,105.05,105.05,105.05,0
CAS003,20130322,105.37,105.37,105.37,105.37,0
CAS003,20130325,104.19,104.19,104.19,104.19,0
CAS003,20130326,105.89,105.89,105.89,105.89,0
CAS003,20130327,105.73,105.73,105.73,105.73,0
CAS003,20130328,106.96,106.96,106.96,106.96,0
CAS003,20130402,108.68,108.68,108.68,108.68,0
CAS003,20130403,108.79,108.79,108.79,108.79,0
CAS003,20130404,108.23,108.23,108.23,108.23,0
CAS003,20130405,106.62,106.62,106.62,106.62,0
CAS003,20130408,106.59,106.59,106.59,106.59,0
CAS003,20130409,105.63,105.63,105.63,105.63,0
CAS003,20130410,104.72,104.72,104.72,104.72,0
CAS003,20130411,105.21,105.21,105.21,105.21,0
CAS003,20130412,105.24,105.24,105.24,105.24,0
CAS003,20130415,105.06,105.06,105.06,105.06,0
CAS003,20130417,103.91,103.91,103.91,103.91,0
CAS003,20130418,104.04,104.04,104.04,104.04,0
CAS003,20130419,104.26,104.26,104.26,104.26,0
CAS003,20130422,104.44,104.44,104.44,104.44,0
CAS003,20130423,105.26,105.26,105.26,105.26,0
CAS003,20130424,106.01,106.01,106.01,106.01,0
CAS003,20130425,105.89,105.89,105.89,105.89,0
CAS003,20130426,107.04,107.04,107.04,107.04,0
CAS003,20130429,106.16,106.16,106.16,106.16,0
CAS003,20130430,106.35,106.35,106.35,106.35,0
CAS003,20130502,106.38,106.38,106.38,106.38,0
CAS003,20130506,109.28,109.28,109.28,109.28,0
CAS003,20130507,109.18,109.18,109.18,109.18,0
CAS003,20130508,109.68,109.68,109.68,109.68,0
CAS003,20130509,109.05,109.05,109.05,109.05,0
CAS003,20130510,110.06,110.06,110.06,110.06,0
CAS003,20130513,111.10,111.10,111.10,111.10,0
CAS003,20130514,111.58,111.58,111.58,111.58,0
CAS003,20130515,112.63,112.63,112.63,112.63,0
CAS003,20130516,113.01,113.01,113.01,113.01,0
CAS003,20130517,112.42,112.42,112.42,112.42,0
CAS003,20130520,110.84,110.84,110.84,110.84,0
CAS003,20130521,111.43,111.43,111.43,111.43,0
CAS003,20130522,113.23,113.23,113.23,113.23,0
CAS003,20130523,112.79,112.79,112.79,112.79,0
CAS003,20130524,113.12,113.12,113.12,113.12,0
CAS003,20130527,113.83,113.83,113.83,113.83,0
CAS003,20130528,113.86,113.86,113.86,113.86,0
CAS003,20130529,112.45,112.45,112.45,112.45,0
CAS003,20130531,110.23,110.23,110.23,110.23,0
CAS003,20130603,98.50,98.50,98.50,98.50,0
CAS003,20130604,102.42,102.42,102.42,102.42,0
CAS003,20130605,102.65,102.65,102.65,102.65,0
CAS003,20130606,99.58,99.58,99.58,99.58,0
CAS003,20130607,101.88,101.88,101.88,101.88,0
CAS003,20130610,98.46,98.46,98.46,98.46,0
CAS003,20130611,97.44,97.44,97.44,97.44,0
CAS003,20130612,98.19,98.19,98.19,98.19,0
CAS003,20130613,99.10,99.10,99.10,99.10,0
CAS003,20130614,101.83,101.83,101.83,101.83,0
CAS003,20130617,100.64,100.64,100.64,100.64,0
CAS003,20130618,99.24,99.24,99.24,99.24,0
CAS003,20130619,100.66,100.66,100.66,100.66,0
CAS003,20130620,97.19,97.19,97.19,97.19,0
CAS003,20130621,96.47,96.47,96.47,96.47,0
CAS003,20130624,93.79,93.79,93.79,93.79,0
CAS003,20130625,94.37,94.37,94.37,94.37,0
CAS003,20130626,97.13,97.13,97.13,97.13,0
CAS003,20130627,98.40,98.40,98.40,98.40,0
CAS003,20130628,97.89,97.89,97.89,97.89,0
CAS003,20130701,98.69,98.69,98.69,98.69,0
CAS003,20130702,98.71,98.71,98.71,98.71,0
CAS003,20130703,95.66,95.66,95.66,95.66,0
CAS003,20130704,96.12,96.12,96.12,96.12,0
CAS003,20130705,94.54,94.54,94.54,94.54,0
CAS003,20130708,94.31,94.31,94.31,94.31,0
CAS003,20130709,95.05,95.05,95.05,95.05,0
CAS003,20130710,94.64,94.64,94.64,94.64,0
CAS003,20130711,93.50,93.50,93.50,93.50,0
CAS003,20130712,94.30,94.30,94.30,94.30,0
CAS003,20130715,95.80,95.80,95.80,95.80,0
CAS003,20130716,96.22,96.22,96.22,96.22,0
CAS003,20130717,96.59,96.59,96.59,96.59,0
CAS003,20130718,96.43,96.43,96.43,96.43,0
CAS003,20130719,96.21,96.21,96.21,96.21,0
CAS003,20130722,95.35,95.35,95.35,95.35,0
CAS003,20130723,94.82,94.82,94.82,94.82,0
CAS003,20130724,93.83,93.83,93.83,93.83,0
CAS003,20130725,93.14,93.14,93.14,93.14,0
CAS003,20130726,92.03,92.03,92.03,92.03,0
CAS003,20130729,92.03,92.03,92.03,92.03,0
