Name,Date,Open,High,Low,Close,Volume
ING044,20120117,100.00,100.00,100.00,100.00,0
ING044,20120118,100.00,100.00,100.00,100.00,0
ING044,20120119,100.00,100.00,100.00,100.00,0
ING044,20120120,100.00,100.00,100.00,100.00,0
ING044,20120123,100.00,100.00,100.00,100.00,0
ING044,20120124,100.00,100.00,100.00,100.00,0
ING044,20120125,100.21,100.21,100.21,100.21,0
ING044,20120126,102.02,102.02,102.02,102.02,0
ING044,20120127,102.29,102.29,102.29,102.29,0
ING044,20120130,101.84,101.84,101.84,101.84,0
ING044,20120131,103.47,103.47,103.47,103.47,0
ING044,20120201,104.05,104.05,104.05,104.05,0
ING044,20120202,104.05,104.05,104.05,104.05,0
ING044,20120203,104.30,104.30,104.30,104.30,0
ING044,20120206,104.30,104.30,104.30,104.30,0
ING044,20120207,104.71,104.71,104.71,104.71,0
ING044,20120208,105.02,105.02,105.02,105.02,0
ING044,20120209,104.76,104.76,104.76,104.76,0
ING044,20120210,103.79,103.79,103.79,103.79,0
ING044,20120213,104.26,104.26,104.26,104.26,0
ING044,20120214,103.92,103.92,103.92,103.92,0
ING044,20120215,104.03,104.03,104.03,104.03,0
ING044,20120216,103.34,103.34,103.34,103.34,0
ING044,20120217,104.31,104.31,104.31,104.31,0
ING044,20120220,106.46,106.46,106.46,106.46,0
ING044,20120221,104.75,104.75,104.75,104.75,0
ING044,20120222,104.43,104.43,104.43,104.43,0
ING044,20120223,104.63,104.63,104.63,104.63,0
ING044,20120224,104.79,104.79,104.79,104.79,0
ING044,20120227,104.66,104.66,104.66,104.66,0
ING044,20120228,105.71,105.71,105.71,105.71,0
ING044,20120229,104.57,104.57,104.57,104.57,0
ING044,20120301,104.44,104.44,104.44,104.44,0
ING044,20120302,104.12,104.12,104.12,104.12,0
ING044,20120305,103.70,103.70,103.70,103.70,0
ING044,20120306,102.87,102.87,102.87,102.87,0
ING044,20120307,102.67,102.67,102.67,102.67,0
ING044,20120308,104.00,104.00,104.00,104.00,0
ING044,20120309,104.25,104.25,104.25,104.25,0
ING044,20120312,103.33,103.33,103.33,103.33,0
ING044,20120313,103.57,103.57,103.57,103.57,0
ING044,20120314,102.70,102.70,102.70,102.70,0
ING044,20120315,102.98,102.98,102.98,102.98,0
ING044,20120316,103.19,103.19,103.19,103.19,0
ING044,20120319,103.52,103.52,103.52,103.52,0
ING044,20120320,102.76,102.76,102.76,102.76,0
ING044,20120321,102.76,102.76,102.76,102.76,0
ING044,20120322,102.43,102.43,102.43,102.43,0
ING044,20120323,102.81,102.81,102.81,102.81,0
ING044,20120326,103.46,103.46,103.46,103.46,0
ING044,20120327,103.54,103.54,103.54,103.54,0
ING044,20120328,103.08,103.08,103.08,103.08,0
ING044,20120329,102.75,102.75,102.75,102.75,0
ING044,20120330,103.92,103.92,103.92,103.92,0
ING044,20120402,103.48,103.48,103.48,103.48,0
ING044,20120403,104.52,104.52,104.52,104.52,0
ING044,20120404,102.69,102.69,102.69,102.69,0
ING044,20120405,102.66,102.66,102.66,102.66,0
ING044,20120410,101.68,101.68,101.68,101.68,0
ING044,20120411,102.03,102.03,102.03,102.03,0
ING044,20120412,102.58,102.58,102.58,102.58,0
ING044,20120413,102.30,102.30,102.30,102.30,0
ING044,20120416,102.15,102.15,102.15,102.15,0
ING044,20120417,102.87,102.87,102.87,102.87,0
ING044,20120418,102.69,102.69,102.69,102.69,0
ING044,20120419,102.56,102.56,102.56,102.56,0
ING044,20120420,102.88,102.88,102.88,102.88,0
ING044,20120423,102.42,102.42,102.42,102.42,0
ING044,20120424,103.06,103.06,103.06,103.06,0
ING044,20120425,103.32,103.32,103.32,103.32,0
ING044,20120426,103.57,103.57,103.57,103.57,0
ING044,20120427,103.97,103.97,103.97,103.97,0
ING044,20120430,104.00,104.00,104.00,104.00,0
ING044,20120502,104.16,104.16,104.16,104.16,0
ING044,20120504,103.99,103.99,103.99,103.99,0
ING044,20120507,103.67,103.67,103.67,103.67,0
ING044,20120508,102.81,102.81,102.81,102.81,0
ING044,20120509,101.80,101.80,101.80,101.80,0
ING044,20120510,102.33,102.33,102.33,102.33,0
ING044,20120511,102.13,102.13,102.13,102.13,0
ING044,20120514,100.66,100.66,100.66,100.66,0
ING044,20120515,100.15,100.15,100.15,100.15,0
ING044,20120516,99.45,99.45,99.45,99.45,0
ING044,20120517,99.23,99.23,99.23,99.23,0
ING044,20120518,99.11,99.11,99.11,99.11,0
ING044,20120521,99.30,99.30,99.30,99.30,0
ING044,20120522,99.53,99.53,99.53,99.53,0
ING044,20120523,97.65,97.65,97.65,97.65,0
ING044,20120524,98.17,98.17,98.17,98.17,0
ING044,20120525,98.46,98.46,98.46,98.46,0
ING044,20120528,98.26,98.26,98.26,98.26,0
ING044,20120529,98.42,98.42,98.42,98.42,0
ING044,20120530,97.25,97.25,97.25,97.25,0
ING044,20120531,97.27,97.27,97.27,97.27,0
ING044,20120601,96.17,96.17,96.17,96.17,0
ING044,20120604,96.99,96.99,96.99,96.99,0
ING044,20120605,97.34,97.34,97.34,97.34,0
ING044,20120606,98.38,98.38,98.38,98.38,0
ING044,20120608,98.29,98.29,98.29,98.29,0
ING044,20120611,98.64,98.64,98.64,98.64,0
ING044,20120612,98.75,98.75,98.75,98.75,0
ING044,20120613,98.78,98.78,98.78,98.78,0
ING044,20120614,98.77,98.77,98.77,98.77,0
ING044,20120615,99.57,99.57,99.57,99.57,0
ING044,20120618,100.25,100.25,100.25,100.25,0
ING044,20120619,100.57,100.57,100.57,100.57,0
ING044,20120620,100.96,100.96,100.96,100.96,0
ING044,20120621,100.61,100.61,100.61,100.61,0
ING044,20120622,100.02,100.02,100.02,100.02,0
ING044,20120625,100.15,100.15,100.15,100.15,0
