Name,Date,Open,High,Low,Close,Volume
IPO145,20150617,100.00,100.00,100.00,100.00,0
IPO145,20150618,100.00,100.00,100.00,100.00,0
IPO145,20150619,100.06,100.06,100.06,100.06,0
IPO145,20150622,100.18,100.18,100.18,100.18,0
IPO145,20150623,100.40,100.40,100.40,100.40,0
IPO145,20150624,100.34,100.34,100.34,100.34,0
IPO145,20150625,100.35,100.35,100.35,100.35,0
IPO145,20150626,100.41,100.41,100.41,100.41,0
IPO145,20150629,100.14,100.14,100.14,100.14,0
IPO145,20150630,100.29,100.29,100.29,100.29,0
IPO145,20150701,100.38,100.38,100.38,100.38,0
IPO145,20150702,100.55,100.55,100.55,100.55,0
IPO145,20150703,100.64,100.64,100.64,100.64,0
IPO145,20150706,100.59,100.59,100.59,100.59,0
IPO145,20150707,101.20,101.20,101.20,101.20,0
IPO145,20150708,101.42,101.42,101.42,101.42,0
IPO145,20150709,101.71,101.71,101.71,101.71,0
IPO145,20150710,101.59,101.59,101.59,101.59,0
IPO145,20150713,101.53,101.53,101.53,101.53,0
IPO145,20150714,101.53,101.53,101.53,101.53,0
IPO145,20150715,101.54,101.54,101.54,101.54,0
IPO145,20150716,101.76,101.76,101.76,101.76,0
IPO145,20150717,102.04,102.04,102.04,102.04,0
IPO145,20150720,102.08,102.08,102.08,102.08,0
IPO145,20150721,102.00,102.00,102.00,102.00,0
IPO145,20150722,102.02,102.02,102.02,102.02,0
IPO145,20150723,101.94,101.94,101.94,101.94,0
IPO145,20150724,102.08,102.08,102.08,102.08,0
IPO145,20150727,102.10,102.10,102.10,102.10,0
IPO145,20150728,102.08,102.08,102.08,102.08,0
IPO145,20150729,101.95,101.95,101.95,101.95,0
IPO145,20150730,101.89,101.89,101.89,101.89,0
IPO145,20150731,101.83,101.83,101.83,101.83,0
IPO145,20150803,101.80,101.80,101.80,101.80,0
IPO145,20150804,101.84,101.84,101.84,101.84,0
IPO145,20150805,101.61,101.61,101.61,101.61,0
IPO145,20150806,101.58,101.58,101.58,101.58,0
IPO145,20150807,101.54,101.54,101.54,101.54,0
IPO145,20150810,101.68,101.68,101.68,101.68,0
IPO145,20150811,102.01,102.01,102.01,102.01,0
IPO145,20150812,102.23,102.23,102.23,102.23,0
IPO145,20150813,102.39,102.39,102.39,102.39,0
IPO145,20150814,102.56,102.56,102.56,102.56,0
IPO145,20150817,102.71,102.71,102.71,102.71,0
IPO145,20150818,102.68,102.68,102.68,102.68,0
IPO145,20150819,102.72,102.72,102.72,102.72,0
IPO145,20150820,102.92,102.92,102.92,102.92,0
IPO145,20150821,102.88,102.88,102.88,102.88,0
IPO145,20150824,102.54,102.54,102.54,102.54,0
IPO145,20150825,102.35,102.35,102.35,102.35,0
IPO145,20150826,102.21,102.21,102.21,102.21,0
IPO145,20150827,102.25,102.25,102.25,102.25,0
IPO145,20150828,102.42,102.42,102.42,102.42,0
IPO145,20150831,102.31,102.31,102.31,102.31,0
IPO145,20150901,102.03,102.03,102.03,102.03,0
IPO145,20150902,102.03,102.03,102.03,102.03,0
IPO145,20150903,102.16,102.16,102.16,102.16,0
IPO145,20150904,102.31,102.31,102.31,102.31,0
IPO145,20150907,102.33,102.33,102.33,102.33,0
IPO145,20150908,102.24,102.24,102.24,102.24,0
IPO145,20150909,102.25,102.25,102.25,102.25,0
IPO145,20150910,102.27,102.27,102.27,102.27,0
IPO145,20150911,102.23,102.23,102.23,102.23,0
IPO145,20150914,102.28,102.28,102.28,102.28,0
