Name,Date,Open,High,Low,Close,Volume
KBC001,20020729,101.07,101.07,101.07,101.07,0
KBC001,20020730,101.06,101.06,101.06,101.06,0
KBC001,20020731,101.18,101.18,101.18,101.18,0
KBC001,20020801,101.17,101.17,101.17,101.17,0
KBC001,20020802,101.26,101.26,101.26,101.26,0
KBC001,20020805,101.29,101.29,101.29,101.29,0
KBC001,20020806,101.30,101.30,101.30,101.30,0
KBC001,20020807,101.31,101.31,101.31,101.31,0
KBC001,20020808,101.32,101.32,101.32,101.32,0
KBC001,20020809,101.33,101.33,101.33,101.33,0
KBC001,20020812,101.35,101.35,101.35,101.35,0
KBC001,20020813,101.36,101.36,101.36,101.36,0
KBC001,20020814,101.36,101.36,101.36,101.36,0
KBC001,20020816,101.37,101.37,101.37,101.37,0
KBC001,20020819,101.42,101.42,101.42,101.42,0
KBC001,20020820,101.41,101.41,101.41,101.41,0
KBC001,20020821,101.33,101.33,101.33,101.33,0
KBC001,20020822,101.52,101.52,101.52,101.52,0
KBC001,20020823,101.53,101.53,101.53,101.53,0
KBC001,20020826,101.45,101.45,101.45,101.45,0
KBC001,20020827,101.59,101.59,101.59,101.59,0
KBC001,20020828,102.01,102.01,102.01,102.01,0
KBC001,20020829,101.78,101.78,101.78,101.78,0
KBC001,20020830,101.49,101.49,101.49,101.49,0
KBC001,20020902,101.75,101.75,101.75,101.75,0
KBC001,20020903,101.60,101.60,101.60,101.60,0
KBC001,20020904,101.63,101.63,101.63,101.63,0
KBC001,20020905,101.73,101.73,101.73,101.73,0
KBC001,20020906,100.62,100.62,100.62,100.62,0
KBC001,20020909,101.50,101.50,101.50,101.50,0
KBC001,20020910,101.51,101.51,101.51,101.51,0
KBC001,20020911,102.10,102.10,102.10,102.10,0
KBC001,20020912,102.59,102.59,102.59,102.59,0
KBC001,20020913,101.98,101.98,101.98,101.98,0
KBC001,20020916,101.56,101.56,101.56,101.56,0
KBC001,20020917,101.89,101.89,101.89,101.89,0
KBC001,20020918,102.09,102.09,102.09,102.09,0
KBC001,20020919,101.63,101.63,101.63,101.63,0
KBC001,20020920,101.55,101.55,101.55,101.55,0
KBC001,20020923,101.95,101.95,101.95,101.95,0
KBC001,20020924,101.45,101.45,101.45,101.45,0
KBC001,20020925,100.72,100.72,100.72,100.72,0
KBC001,20020926,101.47,101.47,101.47,101.47,0
KBC001,20020927,101.19,101.19,101.19,101.19,0
KBC001,20020930,100.76,100.76,100.76,100.76,0
KBC001,20021001,100.60,100.60,100.60,100.60,0
KBC001,20021002,100.49,100.49,100.49,100.49,0
KBC001,20021003,100.43,100.43,100.43,100.43,0
KBC001,20021004,100.74,100.74,100.74,100.74,0
KBC001,20021007,100.69,100.69,100.69,100.69,0
KBC001,20021008,100.45,100.45,100.45,100.45,0
KBC001,20021009,100.61,100.61,100.61,100.61,0
KBC001,20021010,100.43,100.43,100.43,100.43,0
KBC001,20021011,101.00,101.00,101.00,101.00,0
KBC001,20021014,101.72,101.72,101.72,101.72,0
KBC001,20021015,101.88,101.88,101.88,101.88,0
KBC001,20021016,102.65,102.65,102.65,102.65,0
KBC001,20021017,102.27,102.27,102.27,102.27,0
KBC001,20021018,102.22,102.22,102.22,102.22,0
KBC001,20021021,102.98,102.98,102.98,102.98,0
KBC001,20021022,103.56,103.56,103.56,103.56,0
KBC001,20021023,103.92,103.92,103.92,103.92,0
KBC001,20021024,103.90,103.90,103.90,103.90,0
KBC001,20021025,103.95,103.95,103.95,103.95,0
KBC001,20021028,104.09,104.09,104.09,104.09,0
KBC001,20021029,105.43,105.43,105.43,105.43,0
KBC001,20021030,105.36,105.36,105.36,105.36,0
KBC001,20021031,105.32,105.32,105.32,105.32,0
KBC001,20021104,105.96,105.96,105.96,105.96,0
KBC001,20021105,106.30,106.30,106.30,106.30,0
KBC001,20021106,105.60,105.60,105.60,105.60,0
KBC001,20021107,104.98,104.98,104.98,104.98,0
KBC001,20021108,104.70,104.70,104.70,104.70,0
KBC001,20021112,105.13,105.13,105.13,105.13,0
KBC001,20021113,105.34,105.34,105.34,105.34,0
KBC001,20021114,104.95,104.95,104.95,104.95,0
KBC001,20021115,105.68,105.68,105.68,105.68,0
KBC001,20021118,105.51,105.51,105.51,105.51,0
KBC001,20021119,105.79,105.79,105.79,105.79,0
KBC001,20021120,106.09,106.09,106.09,106.09,0
KBC001,20021121,106.16,106.16,106.16,106.16,0
KBC001,20021122,107.37,107.37,107.37,107.37,0
KBC001,20021125,107.51,107.51,107.51,107.51,0
KBC001,20021126,108.77,108.77,108.77,108.77,0
KBC001,20021127,108.49,108.49,108.49,108.49,0
KBC001,20021128,108.76,108.76,108.76,108.76,0
KBC001,20021129,108.67,108.67,108.67,108.67,0
KBC001,20021202,108.26,108.26,108.26,108.26,0
KBC001,20021203,109.20,109.20,109.20,109.20,0
KBC001,20021204,109.18,109.18,109.18,109.18,0
KBC001,20021205,108.45,108.45,108.45,108.45,0
KBC001,20021206,108.57,108.57,108.57,108.57,0
KBC001,20021209,108.17,108.17,108.17,108.17,0
KBC001,20021210,108.21,108.21,108.21,108.21,0
KBC001,20021211,107.77,107.77,107.77,107.77,0
KBC001,20021212,107.44,107.44,107.44,107.44,0
KBC001,20021213,107.74,107.74,107.74,107.74,0
KBC001,20021216,107.97,107.97,107.97,107.97,0
KBC001,20021217,108.38,108.38,108.38,108.38,0
KBC001,20021218,108.42,108.42,108.42,108.42,0
KBC001,20021219,107.16,107.16,107.16,107.16,0
KBC001,20021220,107.12,107.12,107.12,107.12,0
KBC001,20021223,107.51,107.51,107.51,107.51,0
KBC001,20021227,107.91,107.91,107.91,107.91,0
KBC001,20021230,107.88,107.88,107.88,107.88,0
KBC001,20021231,108.18,108.18,108.18,108.18,0
KBC001,20030102,108.24,108.24,108.24,108.24,0
KBC001,20030103,108.00,108.00,108.00,108.00,0
KBC001,20030106,108.57,108.57,108.57,108.57,0
KBC001,20030107,108.65,108.65,108.65,108.65,0
KBC001,20030108,109.06,109.06,109.06,109.06,0
KBC001,20030109,108.64,108.64,108.64,108.64,0
KBC001,20030110,108.70,108.70,108.70,108.70,0
KBC001,20030113,108.65,108.65,108.65,108.65,0
KBC001,20030114,109.29,109.29,109.29,109.29,0
KBC001,20030115,108.85,108.85,108.85,108.85,0
KBC001,20030116,108.40,108.40,108.40,108.40,0
KBC001,20030117,107.76,107.76,107.76,107.76,0
KBC001,20030120,107.36,107.36,107.36,107.36,0
KBC001,20030121,107.26,107.26,107.26,107.26,0
KBC001,20030122,106.73,106.73,106.73,106.73,0
KBC001,20030123,106.37,106.37,106.37,106.37,0
KBC001,20030124,106.63,106.63,106.63,106.63,0
KBC001,20030127,105.78,105.78,105.78,105.78,0
KBC001,20030128,104.97,104.97,104.97,104.97,0
