Name,Date,Open,High,Low,Close,Volume
MIL003,20020103,100.82,100.82,100.82,100.82,0
MIL003,20020104,100.84,100.84,100.84,100.84,0
MIL003,20020105,100.85,100.85,100.85,100.85,0
MIL003,20020108,100.88,100.88,100.88,100.88,0
MIL003,20020109,100.89,100.89,100.89,100.89,0
MIL003,20020110,100.90,100.90,100.90,100.90,0
MIL003,20020111,100.91,100.91,100.91,100.91,0
MIL003,20020112,100.94,100.94,100.94,100.94,0
MIL003,20020115,101.02,101.02,101.02,101.02,0
MIL003,20020116,101.05,101.05,101.05,101.05,0
MIL003,20020117,101.06,101.06,101.06,101.06,0
MIL003,20020118,101.20,101.20,101.20,101.20,0
MIL003,20020119,101.18,101.18,101.18,101.18,0
MIL003,20020122,101.13,101.13,101.13,101.13,0
MIL003,20020123,101.15,101.15,101.15,101.15,0
MIL003,20020124,101.19,101.19,101.19,101.19,0
MIL003,20020125,101.16,101.16,101.16,101.16,0
MIL003,20020126,101.24,101.24,101.24,101.24,0
MIL003,20020129,101.26,101.26,101.26,101.26,0
MIL003,20020130,101.18,101.18,101.18,101.18,0
MIL003,20020131,101.29,101.29,101.29,101.29,0
MIL003,20020201,101.28,101.28,101.28,101.28,0
MIL003,20020202,101.29,101.29,101.29,101.29,0
MIL003,20020205,101.38,101.38,101.38,101.38,0
MIL003,20020206,101.39,101.39,101.39,101.39,0
MIL003,20020207,101.37,101.37,101.37,101.37,0
MIL003,20020208,101.46,101.46,101.46,101.46,0
MIL003,20020209,101.36,101.36,101.36,101.36,0
MIL003,20020212,101.44,101.44,101.44,101.44,0
MIL003,20020213,101.61,101.61,101.61,101.61,0
MIL003,20020214,101.53,101.53,101.53,101.53,0
MIL003,20020215,101.50,101.50,101.50,101.50,0
MIL003,20020216,101.49,101.49,101.49,101.49,0
MIL003,20020219,101.62,101.62,101.62,101.62,0
MIL003,20020220,101.48,101.48,101.48,101.48,0
MIL003,20020221,101.55,101.55,101.55,101.55,0
MIL003,20020222,101.57,101.57,101.57,101.57,0
MIL003,20020223,101.22,101.22,101.22,101.22,0
MIL003,20020226,101.11,101.11,101.11,101.11,0
MIL003,20020227,101.24,101.24,101.24,101.24,0
MIL003,20020228,101.30,101.30,101.30,101.30,0
MIL003,20020301,101.77,101.77,101.77,101.77,0
MIL003,20020302,101.98,101.98,101.98,101.98,0
MIL003,20020305,102.10,102.10,102.10,102.10,0
MIL003,20020306,102.04,102.04,102.04,102.04,0
MIL003,20020307,101.97,101.97,101.97,101.97,0
MIL003,20020308,101.92,101.92,101.92,101.92,0
MIL003,20020309,102.05,102.05,102.05,102.05,0
MIL003,20020312,102.04,102.04,102.04,102.04,0
MIL003,20020313,101.98,101.98,101.98,101.98,0
MIL003,20020314,101.83,101.83,101.83,101.83,0
MIL003,20020315,101.95,101.95,101.95,101.95,0
MIL003,20020316,102.13,102.13,102.13,102.13,0
MIL003,20020319,102.12,102.12,102.12,102.12,0
MIL003,20020320,101.80,101.80,101.80,101.80,0
MIL003,20020321,101.38,101.38,101.38,101.38,0
MIL003,20020322,101.45,101.45,101.45,101.45,0
MIL003,20020323,101.42,101.42,101.42,101.42,0
MIL003,20020326,101.56,101.56,101.56,101.56,0
MIL003,20020327,101.46,101.46,101.46,101.46,0
MIL003,20020328,101.45,101.45,101.45,101.45,0
MIL003,20020329,101.63,101.63,101.63,101.63,0
MIL003,20020403,101.67,101.67,101.67,101.67,0
MIL003,20020404,101.47,101.47,101.47,101.47,0
MIL003,20020405,101.40,101.40,101.40,101.40,0
MIL003,20020406,101.40,101.40,101.40,101.40,0
MIL003,20020409,101.56,101.56,101.56,101.56,0
MIL003,20020410,101.37,101.37,101.37,101.37,0
MIL003,20020411,101.68,101.68,101.68,101.68,0
MIL003,20020412,101.63,101.63,101.63,101.63,0
MIL003,20020413,101.48,101.48,101.48,101.48,0
MIL003,20020416,101.68,101.68,101.68,101.68,0
MIL003,20020417,101.72,101.72,101.72,101.72,0
MIL003,20020418,101.87,101.87,101.87,101.87,0
MIL003,20020419,101.87,101.87,101.87,101.87,0
MIL003,20020420,101.87,101.87,101.87,101.87,0
MIL003,20020423,101.78,101.78,101.78,101.78,0
MIL003,20020424,101.88,101.88,101.88,101.88,0
MIL003,20020425,102.03,102.03,102.03,102.03,0
MIL003,20020426,102.17,102.17,102.17,102.17,0
MIL003,20020427,102.20,102.20,102.20,102.20,0
MIL003,20020430,102.34,102.34,102.34,102.34,0
MIL003,20020501,102.33,102.33,102.33,102.33,0
