Name,Date,Open,High,Low,Close,Volume
NOB006,20080731,100.11,100.11,100.11,100.11,0
NOB006,20080801,100.11,100.11,100.11,100.11,0
NOB006,20080804,100.13,100.13,100.13,100.13,0
NOB006,20080805,100.14,100.14,100.14,100.14,0
NOB006,20080806,100.14,100.14,100.14,100.14,0
NOB006,20080807,100.15,100.15,100.15,100.15,0
NOB006,20080808,100.69,100.69,100.69,100.69,0
NOB006,20080811,100.75,100.75,100.75,100.75,0
NOB006,20080812,100.74,100.74,100.74,100.74,0
NOB006,20080813,100.74,100.74,100.74,100.74,0
NOB006,20080814,100.74,100.74,100.74,100.74,0
NOB006,20080818,100.81,100.81,100.81,100.81,0
NOB006,20080819,100.80,100.80,100.80,100.80,0
NOB006,20080820,100.84,100.84,100.84,100.84,0
NOB006,20080821,100.85,100.85,100.85,100.85,0
NOB006,20080822,100.84,100.84,100.84,100.84,0
NOB006,20080825,100.88,100.88,100.88,100.88,0
NOB006,20080826,100.90,100.90,100.90,100.90,0
NOB006,20080827,100.88,100.88,100.88,100.88,0
NOB006,20080828,100.87,100.87,100.87,100.87,0
NOB006,20080829,100.90,100.90,100.90,100.90,0
NOB006,20080901,100.90,100.90,100.90,100.90,0
NOB006,20080902,100.90,100.90,100.90,100.90,0
NOB006,20080903,100.91,100.91,100.91,100.91,0
NOB006,20080904,100.94,100.94,100.94,100.94,0
NOB006,20080905,100.94,100.94,100.94,100.94,0
NOB006,20080908,100.95,100.95,100.95,100.95,0
NOB006,20080909,100.95,100.95,100.95,100.95,0
NOB006,20080910,100.98,100.98,100.98,100.98,0
NOB006,20080911,100.98,100.98,100.98,100.98,0
NOB006,20080912,100.98,100.98,100.98,100.98,0
NOB006,20080915,101.02,101.02,101.02,101.02,0
NOB006,20080916,101.04,101.04,101.04,101.04,0
NOB006,20080917,101.03,101.03,101.03,101.03,0
NOB006,20080918,101.04,101.04,101.04,101.04,0
NOB006,20080919,101.06,101.06,101.06,101.06,0
NOB006,20080922,101.06,101.06,101.06,101.06,0
NOB006,20080923,101.03,101.03,101.03,101.03,0
NOB006,20080924,101.02,101.02,101.02,101.02,0
NOB006,20080925,101.06,101.06,101.06,101.06,0
NOB006,20080926,101.01,101.01,101.01,101.01,0
NOB006,20080929,101.05,101.05,101.05,101.05,0
NOB006,20080930,101.07,101.07,101.07,101.07,0
NOB006,20081001,101.14,101.14,101.14,101.14,0
NOB006,20081002,101.18,101.18,101.18,101.18,0
NOB006,20081003,101.14,101.14,101.14,101.14,0
NOB006,20081006,101.13,101.13,101.13,101.13,0
NOB006,20081007,101.01,101.01,101.01,101.01,0
NOB006,20081008,101.03,101.03,101.03,101.03,0
NOB006,20081009,100.83,100.83,100.83,100.83,0
NOB006,20081010,101.14,101.14,101.14,101.14,0
NOB006,20081013,101.52,101.52,101.52,101.52,0
NOB006,20081014,102.64,102.64,102.64,102.64,0
NOB006,20081015,101.38,101.38,101.38,101.38,0
NOB006,20081016,100.82,100.82,100.82,100.82,0
NOB006,20081017,100.55,100.55,100.55,100.55,0
NOB006,20081020,100.55,100.55,100.55,100.55,0
NOB006,20081021,100.03,100.03,100.03,100.03,0
NOB006,20081022,98.88,98.88,98.88,98.88,0
NOB006,20081023,98.88,98.88,98.88,98.88,0
NOB006,20081024,98.41,98.41,98.41,98.41,0
NOB006,20081027,98.96,98.96,98.96,98.96,0
NOB006,20081028,101.61,101.61,101.61,101.61,0
NOB006,20081029,108.58,108.58,108.58,108.58,0
NOB006,20081030,110.37,110.37,110.37,110.37,0
NOB006,20081031,111.92,111.92,111.92,111.92,0
NOB006,20081103,111.63,111.63,111.63,111.63,0
NOB006,20081104,114.84,114.84,114.84,114.84,0
NOB006,20081105,112.79,112.79,112.79,112.79,0
NOB006,20081106,110.78,110.78,110.78,110.78,0
NOB006,20081107,110.96,110.96,110.96,110.96,0
NOB006,20081110,111.32,111.32,111.32,111.32,0
NOB006,20081112,110.66,110.66,110.66,110.66,0
NOB006,20081113,110.39,110.39,110.39,110.39,0
NOB006,20081114,110.86,110.86,110.86,110.86,0
NOB006,20081117,110.73,110.73,110.73,110.73,0
NOB006,20081118,110.08,110.08,110.08,110.08,0
NOB006,20081119,110.06,110.06,110.06,110.06,0
