Name,Date,Open,High,Low,Close,Volume
PKO913,20150519,99.99,99.99,99.99,99.99,0
PKO913,20150520,100.00,100.00,100.00,100.00,0
PKO913,20150521,99.95,99.95,99.95,99.95,0
PKO913,20150522,101.05,101.05,101.05,101.05,0
PKO913,20150525,102.10,102.10,102.10,102.10,0
PKO913,20150526,101.27,101.27,101.27,101.27,0
PKO913,20150527,100.82,100.82,100.82,100.82,0
PKO913,20150528,99.16,99.16,99.16,99.16,0
PKO913,20150529,98.77,98.77,98.77,98.77,0
PKO913,20150601,99.34,99.34,99.34,99.34,0
PKO913,20150602,98.87,98.87,98.87,98.87,0
PKO913,20150603,97.30,97.30,97.30,97.30,0
PKO913,20150605,97.67,97.67,97.67,97.67,0
PKO913,20150608,98.17,98.17,98.17,98.17,0
PKO913,20150609,96.29,96.29,96.29,96.29,0
PKO913,20150610,96.30,96.30,96.30,96.30,0
PKO913,20150611,96.69,96.69,96.69,96.69,0
PKO913,20150612,97.84,97.84,97.84,97.84,0
PKO913,20150615,96.29,96.29,96.29,96.29,0
PKO913,20150616,96.35,96.35,96.35,96.35,0
PKO913,20150617,96.60,96.60,96.60,96.60,0
PKO913,20150618,97.42,97.42,97.42,97.42,0
PKO913,20150619,97.79,97.79,97.79,97.79,0
PKO913,20150622,97.71,97.71,97.71,97.71,0
PKO913,20150623,98.88,98.88,98.88,98.88,0
PKO913,20150624,98.36,98.36,98.36,98.36,0
PKO913,20150625,98.65,98.65,98.65,98.65,0
PKO913,20150626,97.25,97.25,97.25,97.25,0
PKO913,20150629,96.41,96.41,96.41,96.41,0
PKO913,20150630,96.45,96.45,96.45,96.45,0
PKO913,20150701,96.37,96.37,96.37,96.37,0
PKO913,20150702,96.70,96.70,96.70,96.70,0
PKO913,20150703,95.79,95.79,95.79,95.79,0
PKO913,20150706,94.92,94.92,94.92,94.92,0
PKO913,20150707,94.12,94.12,94.12,94.12,0
PKO913,20150708,91.06,91.06,91.06,91.06,0
PKO913,20150709,92.97,92.97,92.97,92.97,0
PKO913,20150710,94.13,94.13,94.13,94.13,0
PKO913,20150713,94.55,94.55,94.55,94.55,0
PKO913,20150714,94.50,94.50,94.50,94.50,0
PKO913,20150715,93.97,93.97,93.97,93.97,0
PKO913,20150716,95.16,95.16,95.16,95.16,0
PKO913,20150717,95.49,95.49,95.49,95.49,0
PKO913,20150720,95.19,95.19,95.19,95.19,0
PKO913,20150721,95.24,95.24,95.24,95.24,0
PKO913,20150722,94.45,94.45,94.45,94.45,0
PKO913,20150723,94.25,94.25,94.25,94.25,0
PKO913,20150724,94.10,94.10,94.10,94.10,0
PKO913,20150727,91.98,91.98,91.98,91.98,0
PKO913,20150728,92.44,92.44,92.44,92.44,0
PKO913,20150729,93.25,93.25,93.25,93.25,0
PKO913,20150730,92.43,92.43,92.43,92.43,0
PKO913,20150731,93.48,93.48,93.48,93.48,0
PKO913,20150803,92.27,92.27,92.27,92.27,0
PKO913,20150804,92.84,92.84,92.84,92.84,0
PKO913,20150805,93.04,93.04,93.04,93.04,0
PKO913,20150806,92.25,92.25,92.25,92.25,0
PKO913,20150807,91.85,91.85,91.85,91.85,0
PKO913,20150810,92.19,92.19,92.19,92.19,0
PKO913,20150811,90.94,90.94,90.94,90.94,0
PKO913,20150812,88.80,88.80,88.80,88.80,0
PKO913,20150813,89.92,89.92,89.92,89.92,0
PKO913,20150814,90.46,90.46,90.46,90.46,0
PKO913,20150817,89.77,89.77,89.77,89.77,0
PKO913,20150818,89.09,89.09,89.09,89.09,0
PKO913,20150819,88.40,88.40,88.40,88.40,0
PKO913,20150820,87.31,87.31,87.31,87.31,0
PKO913,20150821,85.84,85.84,85.84,85.84,0
PKO913,20150824,81.90,81.90,81.90,81.90,0
