Name,Date,Open,High,Low,Close,Volume
PZU008,20061003,50.05,50.05,50.05,50.05,0
PZU008,20061004,50.04,50.04,50.04,50.04,0
PZU008,20061005,50.04,50.04,50.04,50.04,0
PZU008,20061006,50.04,50.04,50.04,50.04,0
PZU008,20061009,50.04,50.04,50.04,50.04,0
PZU008,20061010,50.04,50.04,50.04,50.04,0
PZU008,20061011,50.04,50.04,50.04,50.04,0
PZU008,20061012,50.04,50.04,50.04,50.04,0
PZU008,20061013,50.04,50.04,50.04,50.04,0
PZU008,20061016,50.04,50.04,50.04,50.04,0
PZU008,20061017,50.11,50.11,50.11,50.11,0
PZU008,20061018,50.20,50.20,50.20,50.20,0
PZU008,20061019,50.40,50.40,50.40,50.40,0
PZU008,20061020,50.44,50.44,50.44,50.44,0
PZU008,20061023,50.89,50.89,50.89,50.89,0
PZU008,20061024,52.36,52.36,52.36,52.36,0
PZU008,20061025,52.96,52.96,52.96,52.96,0
PZU008,20061026,53.18,53.18,53.18,53.18,0
PZU008,20061027,53.05,53.05,53.05,53.05,0
PZU008,20061030,53.04,53.04,53.04,53.04,0
PZU008,20061031,53.08,53.08,53.08,53.08,0
PZU008,20061102,53.12,53.12,53.12,53.12,0
PZU008,20061103,53.62,53.62,53.62,53.62,0
PZU008,20061106,54.12,54.12,54.12,54.12,0
PZU008,20061107,54.41,54.41,54.41,54.41,0
PZU008,20061108,54.72,54.72,54.72,54.72,0
PZU008,20061109,54.95,54.95,54.95,54.95,0
PZU008,20061110,54.84,54.84,54.84,54.84,0
PZU008,20061113,54.54,54.54,54.54,54.54,0
PZU008,20061114,54.57,54.57,54.57,54.57,0
PZU008,20061115,54.41,54.41,54.41,54.41,0
PZU008,20061116,54.66,54.66,54.66,54.66,0
PZU008,20061117,54.52,54.52,54.52,54.52,0
PZU008,20061120,55.05,55.05,55.05,55.05,0
PZU008,20061121,55.59,55.59,55.59,55.59,0
PZU008,20061122,56.06,56.06,56.06,56.06,0
PZU008,20061123,56.67,56.67,56.67,56.67,0
PZU008,20061124,56.83,56.83,56.83,56.83,0
PZU008,20061127,57.10,57.10,57.10,57.10,0
PZU008,20061128,57.14,57.14,57.14,57.14,0
PZU008,20061129,57.76,57.76,57.76,57.76,0
PZU008,20061130,58.06,58.06,58.06,58.06,0
PZU008,20061201,58.51,58.51,58.51,58.51,0
PZU008,20061204,59.00,59.00,59.00,59.00,0
PZU008,20061205,58.93,58.93,58.93,58.93,0
PZU008,20061206,58.98,58.98,58.98,58.98,0
PZU008,20061207,59.15,59.15,59.15,59.15,0
PZU008,20061208,59.10,59.10,59.10,59.10,0
PZU008,20061211,58.98,58.98,58.98,58.98,0
PZU008,20061212,58.95,58.95,58.95,58.95,0
PZU008,20061213,59.08,59.08,59.08,59.08,0
PZU008,20061214,58.57,58.57,58.57,58.57,0
PZU008,20061215,57.95,57.95,57.95,57.95,0
PZU008,20061218,58.76,58.76,58.76,58.76,0
PZU008,20061219,57.53,57.53,57.53,57.53,0
PZU008,20061220,56.65,56.65,56.65,56.65,0
PZU008,20061221,56.47,56.47,56.47,56.47,0
PZU008,20061222,56.16,56.16,56.16,56.16,0
PZU008,20061227,56.85,56.85,56.85,56.85,0
PZU008,20061228,56.91,56.91,56.91,56.91,0
PZU008,20061229,57.02,57.02,57.02,57.02,0
PZU008,20070102,57.41,57.41,57.41,57.41,0
PZU008,20070103,57.60,57.60,57.60,57.60,0
PZU008,20070104,57.15,57.15,57.15,57.15,0
PZU008,20070105,57.02,57.02,57.02,57.02,0
PZU008,20070108,56.99,56.99,56.99,56.99,0
PZU008,20070109,57.52,57.52,57.52,57.52,0
PZU008,20070110,57.91,57.91,57.91,57.91,0
PZU008,20070111,58.84,58.84,58.84,58.84,0
PZU008,20070112,59.22,59.22,59.22,59.22,0
PZU008,20070115,60.40,60.40,60.40,60.40,0
PZU008,20070116,60.42,60.42,60.42,60.42,0
PZU008,20070117,61.14,61.14,61.14,61.14,0
PZU008,20070118,62.24,62.24,62.24,62.24,0
PZU008,20070119,62.46,62.46,62.46,62.46,0
PZU008,20070122,62.00,62.00,62.00,62.00,0
PZU008,20070123,62.08,62.08,62.08,62.08,0
PZU008,20070124,62.37,62.37,62.37,62.37,0
PZU008,20070125,62.42,62.42,62.42,62.42,0
PZU008,20070126,62.19,62.19,62.19,62.19,0
PZU008,20070129,62.81,62.81,62.81,62.81,0
PZU008,20070130,62.98,62.98,62.98,62.98,0
PZU008,20070206,64.07,64.07,64.07,64.07,0
PZU008,20070207,63.96,63.96,63.96,63.96,0
PZU008,20070208,62.88,62.88,62.88,62.88,0
PZU008,20070209,63.06,63.06,63.06,63.06,0
PZU008,20070212,63.01,63.01,63.01,63.01,0
PZU008,20070213,63.01,63.01,63.01,63.01,0
PZU008,20070214,63.62,63.62,63.62,63.62,0
PZU008,20070215,63.92,63.92,63.92,63.92,0
PZU008,20070216,64.50,64.50,64.50,64.50,0
PZU008,20070219,65.31,65.31,65.31,65.31,0
PZU008,20070220,64.92,64.92,64.92,64.92,0
PZU008,20070221,65.23,65.23,65.23,65.23,0
PZU008,20070222,65.93,65.93,65.93,65.93,0
PZU008,20070223,66.08,66.08,66.08,66.08,0
PZU008,20070226,65.94,65.94,65.94,65.94,0
PZU008,20070227,63.93,63.93,63.93,63.93,0
PZU008,20070228,63.62,63.62,63.62,63.62,0
PZU008,20070301,62.84,62.84,62.84,62.84,0
PZU008,20070302,63.24,63.24,63.24,63.24,0
PZU008,20070305,61.92,61.92,61.92,61.92,0
PZU008,20070306,62.64,62.64,62.64,62.64,0
PZU008,20070307,62.80,62.80,62.80,62.80,0
PZU008,20070308,63.89,63.89,63.89,63.89,0
PZU008,20070309,63.95,63.95,63.95,63.95,0
PZU008,20070312,64.49,64.49,64.49,64.49,0
PZU008,20070313,64.65,64.65,64.65,64.65,0
PZU008,20070314,64.59,64.59,64.59,64.59,0
PZU008,20070315,65.37,65.37,65.37,65.37,0
PZU008,20070316,66.12,66.12,66.12,66.12,0
PZU008,20070319,66.70,66.70,66.70,66.70,0
PZU008,20070320,66.99,66.99,66.99,66.99,0
PZU008,20070321,67.67,67.67,67.67,67.67,0
PZU008,20070322,67.63,67.63,67.63,67.63,0
PZU008,20070323,68.51,68.51,68.51,68.51,0
PZU008,20070326,69.03,69.03,69.03,69.03,0
PZU008,20070327,69.10,69.10,69.10,69.10,0
PZU008,20070328,69.33,69.33,69.33,69.33,0
PZU008,20070329,69.74,69.74,69.74,69.74,0
PZU008,20070330,69.60,69.60,69.60,69.60,0
PZU008,20070402,69.42,69.42,69.42,69.42,0
PZU008,20070403,70.09,70.09,70.09,70.09,0
PZU008,20070404,70.71,70.71,70.71,70.71,0
PZU008,20070405,70.76,70.76,70.76,70.76,0
PZU008,20070410,71.67,71.67,71.67,71.67,0
PZU008,20070411,71.98,71.98,71.98,71.98,0
PZU008,20070412,70.91,70.91,70.91,70.91,0
PZU008,20070413,71.50,71.50,71.50,71.50,0
PZU008,20070416,71.50,71.50,71.50,71.50,0
PZU008,20070417,71.68,71.68,71.68,71.68,0
PZU008,20070418,71.88,71.88,71.88,71.88,0
PZU008,20070419,71.84,71.84,71.84,71.84,0
PZU008,20070420,72.67,72.67,72.67,72.67,0
PZU008,20070423,72.86,72.86,72.86,72.86,0
PZU008,20070424,73.30,73.30,73.30,73.30,0
PZU008,20070425,73.92,73.92,73.92,73.92,0
PZU008,20070426,75.06,75.06,75.06,75.06,0
PZU008,20070427,75.20,75.20,75.20,75.20,0
PZU008,20070430,74.89,74.89,74.89,74.89,0
PZU008,20070502,75.40,75.40,75.40,75.40,0
PZU008,20070504,76.40,76.40,76.40,76.40,0
PZU008,20070507,76.66,76.66,76.66,76.66,0
PZU008,20070508,75.84,75.84,75.84,75.84,0
PZU008,20070509,76.01,76.01,76.01,76.01,0
PZU008,20070510,75.23,75.23,75.23,75.23,0
PZU008,20070511,76.31,76.31,76.31,76.31,0
PZU008,20070514,76.84,76.84,76.84,76.84,0
PZU008,20070515,76.02,76.02,76.02,76.02,0
PZU008,20070516,75.57,75.57,75.57,75.57,0
PZU008,20070517,75.65,75.65,75.65,75.65,0
PZU008,20070518,76.37,76.37,76.37,76.37,0
PZU008,20070521,77.76,77.76,77.76,77.76,0
PZU008,20070522,78.47,78.47,78.47,78.47,0
PZU008,20070523,79.19,79.19,79.19,79.19,0
PZU008,20070524,79.81,79.81,79.81,79.81,0
PZU008,20070525,80.53,80.53,80.53,80.53,0
PZU008,20070528,82.21,82.21,82.21,82.21,0
PZU008,20070529,82.08,82.08,82.08,82.08,0
PZU008,20070530,81.85,81.85,81.85,81.85,0
PZU008,20070531,83.14,83.14,83.14,83.14,0
PZU008,20070601,83.36,83.36,83.36,83.36,0
PZU008,20070604,83.02,83.02,83.02,83.02,0
PZU008,20070605,82.30,82.30,82.30,82.30,0
PZU008,20070606,81.75,81.75,81.75,81.75,0
PZU008,20070608,81.39,81.39,81.39,81.39,0
PZU008,20070611,83.11,83.11,83.11,83.11,0
PZU008,20070612,83.03,83.03,83.03,83.03,0
PZU008,20070613,82.96,82.96,82.96,82.96,0
PZU008,20070614,84.08,84.08,84.08,84.08,0
PZU008,20070615,84.21,84.21,84.21,84.21,0
PZU008,20070618,85.01,85.01,85.01,85.01,0
PZU008,20070619,85.51,85.51,85.51,85.51,0
PZU008,20070620,85.42,85.42,85.42,85.42,0
PZU008,20070621,85.61,85.61,85.61,85.61,0
PZU008,20070622,86.39,86.39,86.39,86.39,0
PZU008,20070625,86.73,86.73,86.73,86.73,0
PZU008,20070626,87.05,87.05,87.05,87.05,0
PZU008,20070627,87.04,87.04,87.04,87.04,0
PZU008,20070628,87.67,87.67,87.67,87.67,0
PZU008,20070629,87.67,87.67,87.67,87.67,0
PZU008,20070702,86.84,86.84,86.84,86.84,0
PZU008,20070703,87.96,87.96,87.96,87.96,0
PZU008,20070704,88.42,88.42,88.42,88.42,0
PZU008,20070705,88.69,88.69,88.69,88.69,0
PZU008,20070706,88.83,88.83,88.83,88.83,0
PZU008,20070709,88.79,88.79,88.79,88.79,0
PZU008,20070710,87.69,87.69,87.69,87.69,0
PZU008,20070711,86.55,86.55,86.55,86.55,0
PZU008,20070712,86.49,86.49,86.49,86.49,0
PZU008,20070713,86.70,86.70,86.70,86.70,0
PZU008,20070716,85.30,85.30,85.30,85.30,0
PZU008,20070717,85.57,85.57,85.57,85.57,0
PZU008,20070718,85.35,85.35,85.35,85.35,0
PZU008,20070719,86.55,86.55,86.55,86.55,0
PZU008,20070720,85.92,85.92,85.92,85.92,0
PZU008,20070723,85.52,85.52,85.52,85.52,0
PZU008,20070724,84.16,84.16,84.16,84.16,0
PZU008,20070725,83.33,83.33,83.33,83.33,0
PZU008,20070726,81.33,81.33,81.33,81.33,0
PZU008,20070727,80.42,80.42,80.42,80.42,0
PZU008,20070730,80.51,80.51,80.51,80.51,0
PZU008,20070731,81.37,81.37,81.37,81.37,0
PZU008,20070801,79.21,79.21,79.21,79.21,0
PZU008,20070802,80.07,80.07,80.07,80.07,0
PZU008,20070803,79.03,79.03,79.03,79.03,0
PZU008,20070806,77.26,77.26,77.26,77.26,0
PZU008,20070807,77.94,77.94,77.94,77.94,0
PZU008,20070808,77.58,77.58,77.58,77.58,0
PZU008,20070809,76.31,76.31,76.31,76.31,0
PZU008,20070810,74.44,74.44,74.44,74.44,0
PZU008,20070813,75.54,75.54,75.54,75.54,0
PZU008,20070814,74.45,74.45,74.45,74.45,0
PZU008,20070816,69.76,69.76,69.76,69.76,0
PZU008,20070817,70.55,70.55,70.55,70.55,0
PZU008,20070820,71.08,71.08,71.08,71.08,0
PZU008,20070821,70.11,70.11,70.11,70.11,0
PZU008,20070822,72.50,72.50,72.50,72.50,0
PZU008,20070823,73.37,73.37,73.37,73.37,0
PZU008,20070824,73.78,73.78,73.78,73.78,0
PZU008,20070827,73.78,73.78,73.78,73.78,0
PZU008,20070828,73.77,73.77,73.77,73.77,0
PZU008,20070829,73.66,73.66,73.66,73.66,0
PZU008,20070830,73.65,73.65,73.65,73.65,0
PZU008,20070831,74.95,74.95,74.95,74.95,0
PZU008,20070903,75.72,75.72,75.72,75.72,0
PZU008,20070904,76.47,76.47,76.47,76.47,0
PZU008,20070905,75.75,75.75,75.75,75.75,0
PZU008,20070906,75.44,75.44,75.44,75.44,0
PZU008,20070907,74.67,74.67,74.67,74.67,0
PZU008,20070910,73.54,73.54,73.54,73.54,0
PZU008,20070911,74.27,74.27,74.27,74.27,0
PZU008,20070912,73.95,73.95,73.95,73.95,0
PZU008,20070913,74.19,74.19,74.19,74.19,0
PZU008,20070914,73.46,73.46,73.46,73.46,0
PZU008,20070917,73.35,73.35,73.35,73.35,0
PZU008,20070918,73.81,73.81,73.81,73.81,0
PZU008,20070919,75.11,75.11,75.11,75.11,0
PZU008,20070920,74.97,74.97,74.97,74.97,0
PZU008,20070921,74.86,74.86,74.86,74.86,0
PZU008,20070924,74.51,74.51,74.51,74.51,0
PZU008,20070925,74.06,74.06,74.06,74.06,0
PZU008,20070926,73.91,73.91,73.91,73.91,0
PZU008,20070927,73.80,73.80,73.80,73.80,0
PZU008,20070928,72.85,72.85,72.85,72.85,0
PZU008,20071001,72.22,72.22,72.22,72.22,0
PZU008,20071002,72.33,72.33,72.33,72.33,0
PZU008,20071003,72.32,72.32,72.32,72.32,0
PZU008,20071004,72.47,72.47,72.47,72.47,0
PZU008,20071005,72.88,72.88,72.88,72.88,0
PZU008,20071008,73.40,73.40,73.40,73.40,0
PZU008,20071009,74.00,74.00,74.00,74.00,0
PZU008,20071010,74.03,74.03,74.03,74.03,0
PZU008,20071011,74.55,74.55,74.55,74.55,0
PZU008,20071012,74.31,74.31,74.31,74.31,0
PZU008,20071015,74.57,74.57,74.57,74.57,0
PZU008,20071016,74.23,74.23,74.23,74.23,0
PZU008,20071017,74.81,74.81,74.81,74.81,0
PZU008,20071018,74.16,74.16,74.16,74.16,0
PZU008,20071019,74.81,74.81,74.81,74.81,0
PZU008,20071022,73.94,73.94,73.94,73.94,0
PZU008,20071023,74.08,74.08,74.08,74.08,0
PZU008,20071024,74.04,74.04,74.04,74.04,0
PZU008,20071025,73.79,73.79,73.79,73.79,0
PZU008,20071026,73.74,73.74,73.74,73.74,0
PZU008,20071029,73.58,73.58,73.58,73.58,0
PZU008,20071030,73.07,73.07,73.07,73.07,0
PZU008,20071031,73.31,73.31,73.31,73.31,0
PZU008,20071102,71.97,71.97,71.97,71.97,0
PZU008,20071105,71.04,71.04,71.04,71.04,0
PZU008,20071106,70.12,70.12,70.12,70.12,0
PZU008,20071107,68.05,68.05,68.05,68.05,0
PZU008,20071108,67.46,67.46,67.46,67.46,0
PZU008,20071109,67.43,67.43,67.43,67.43,0
PZU008,20071112,66.44,66.44,66.44,66.44,0
PZU008,20071113,66.55,66.55,66.55,66.55,0
PZU008,20071114,66.78,66.78,66.78,66.78,0
PZU008,20071115,64.76,64.76,64.76,64.76,0
PZU008,20071116,63.95,63.95,63.95,63.95,0
PZU008,20071119,63.69,63.69,63.69,63.69,0
PZU008,20071120,63.26,63.26,63.26,63.26,0
PZU008,20071121,61.60,61.60,61.60,61.60,0
PZU008,20071122,62.87,62.87,62.87,62.87,0
PZU008,20071127,62.85,62.85,62.85,62.85,0
PZU008,20071128,63.73,63.73,63.73,63.73,0
PZU008,20071129,64.43,64.43,64.43,64.43,0
PZU008,20071130,64.91,64.91,64.91,64.91,0
PZU008,20071203,64.72,64.72,64.72,64.72,0
PZU008,20071204,64.43,64.43,64.43,64.43,0
PZU008,20071205,65.41,65.41,65.41,65.41,0
PZU008,20071206,65.14,65.14,65.14,65.14,0
PZU008,20071207,65.78,65.78,65.78,65.78,0
PZU008,20071210,65.48,65.48,65.48,65.48,0
PZU008,20071211,65.43,65.43,65.43,65.43,0
PZU008,20071212,65.73,65.73,65.73,65.73,0
PZU008,20071213,65.17,65.17,65.17,65.17,0
PZU008,20071214,65.42,65.42,65.42,65.42,0
PZU008,20071217,64.79,64.79,64.79,64.79,0
PZU008,20071218,64.41,64.41,64.41,64.41,0
PZU008,20071219,64.18,64.18,64.18,64.18,0
PZU008,20071220,63.82,63.82,63.82,63.82,0
PZU008,20071221,64.04,64.04,64.04,64.04,0
PZU008,20071227,64.98,64.98,64.98,64.98,0
PZU008,20071228,64.52,64.52,64.52,64.52,0
PZU008,20080102,64.29,64.29,64.29,64.29,0
PZU008,20080103,63.60,63.60,63.60,63.60,0
PZU008,20080104,63.02,63.02,63.02,63.02,0
PZU008,20080107,61.75,61.75,61.75,61.75,0
PZU008,20080108,61.29,61.29,61.29,61.29,0
PZU008,20080109,59.12,59.12,59.12,59.12,0
PZU008,20080110,56.72,56.72,56.72,56.72,0
PZU008,20080111,55.51,55.51,55.51,55.51,0
PZU008,20080114,53.76,53.76,53.76,53.76,0
PZU008,20080115,52.22,52.22,52.22,52.22,0
PZU008,20080116,50.26,50.26,50.26,50.26,0
PZU008,20080117,50.57,50.57,50.57,50.57,0
PZU008,20080118,50.97,50.97,50.97,50.97,0
PZU008,20080121,49.35,49.35,49.35,49.35,0
PZU008,20080122,49.43,49.43,49.43,49.43,0
PZU008,20080123,49.60,49.60,49.60,49.60,0
PZU008,20080124,51.99,51.99,51.99,51.99,0
PZU008,20080125,52.61,52.61,52.61,52.61,0
