Name,Date,Open,High,Low,Close,Volume
QRS006,20100528,100.00,100.00,100.00,100.00,0
QRS006,20100531,99.99,99.99,99.99,99.99,0
QRS006,20100601,99.98,99.98,99.98,99.98,0
QRS006,20100602,100.31,100.31,100.31,100.31,0
QRS006,20100604,95.83,95.83,95.83,95.83,0
QRS006,20100607,94.30,94.30,94.30,94.30,0
QRS006,20100608,94.53,94.53,94.53,94.53,0
QRS006,20100609,95.01,95.01,95.01,95.01,0
QRS006,20100610,98.45,98.45,98.45,98.45,0
QRS006,20100611,97.80,97.80,97.80,97.80,0
QRS006,20100614,100.99,100.99,100.99,100.99,0
QRS006,20100615,100.91,100.91,100.91,100.91,0
QRS006,20100616,100.58,100.58,100.58,100.58,0
QRS006,20100617,98.34,98.34,98.34,98.34,0
QRS006,20100618,98.71,98.71,98.71,98.71,0
QRS006,20100621,101.42,101.42,101.42,101.42,0
QRS006,20100622,100.55,100.55,100.55,100.55,0
QRS006,20100623,100.49,100.49,100.49,100.49,0
QRS006,20100624,101.89,101.89,101.89,101.89,0
QRS006,20100625,102.58,102.58,102.58,102.58,0
QRS006,20100628,101.69,101.69,101.69,101.69,0
QRS006,20100629,95.97,95.97,95.97,95.97,0
QRS006,20100630,95.90,95.90,95.90,95.90,0
QRS006,20100701,95.62,95.62,95.62,95.62,0
QRS006,20100702,97.90,97.90,97.90,97.90,0
QRS006,20100705,97.51,97.51,97.51,97.51,0
QRS006,20100706,101.34,101.34,101.34,101.34,0
QRS006,20100707,100.91,100.91,100.91,100.91,0
QRS006,20100708,100.31,100.31,100.31,100.31,0
QRS006,20100709,100.46,100.46,100.46,100.46,0
QRS006,20100712,104.20,104.20,104.20,104.20,0
QRS006,20100713,105.94,105.94,105.94,105.94,0
QRS006,20100714,106.18,106.18,106.18,106.18,0
QRS006,20100715,105.90,105.90,105.90,105.90,0
QRS006,20100716,105.27,105.27,105.27,105.27,0
QRS006,20100719,104.98,104.98,104.98,104.98,0
QRS006,20100720,103.73,103.73,103.73,103.73,0
QRS006,20100721,107.94,107.94,107.94,107.94,0
QRS006,20100722,111.76,111.76,111.76,111.76,0
QRS006,20100723,113.08,113.08,113.08,113.08,0
QRS006,20100726,114.95,114.95,114.95,114.95,0
QRS006,20100727,114.20,114.20,114.20,114.20,0
QRS006,20100728,114.01,114.01,114.01,114.01,0
QRS006,20100729,115.21,115.21,115.21,115.21,0
QRS006,20100730,113.54,113.54,113.54,113.54,0
QRS006,20100802,120.07,120.07,120.07,120.07,0
QRS006,20100803,119.72,119.72,119.72,119.72,0
QRS006,20100804,120.93,120.93,120.93,120.93,0
QRS006,20100805,120.40,120.40,120.40,120.40,0
QRS006,20100806,119.46,119.46,119.46,119.46,0
QRS006,20100809,119.07,119.07,119.07,119.07,0
QRS006,20100810,115.30,115.30,115.30,115.30,0
QRS006,20100811,112.08,112.08,112.08,112.08,0
QRS006,20100812,112.34,112.34,112.34,112.34,0
QRS006,20100813,112.14,112.14,112.14,112.14,0
QRS006,20100816,114.18,114.18,114.18,114.18,0
QRS006,20100817,114.63,114.63,114.63,114.63,0
QRS006,20100818,113.56,113.56,113.56,113.56,0
QRS006,20100819,111.09,111.09,111.09,111.09,0
QRS006,20100820,110.54,110.54,110.54,110.54,0
QRS006,20100823,113.19,113.19,113.19,113.19,0
QRS006,20100824,107.23,107.23,107.23,107.23,0
QRS006,20100825,107.22,107.22,107.22,107.22,0
QRS006,20100826,106.95,106.95,106.95,106.95,0
QRS006,20100827,108.27,108.27,108.27,108.27,0
QRS006,20100830,107.54,107.54,107.54,107.54,0
QRS006,20100831,108.69,108.69,108.69,108.69,0
QRS006,20100901,111.90,111.90,111.90,111.90,0
QRS006,20100902,111.44,111.44,111.44,111.44,0
QRS006,20100903,112.70,112.70,112.70,112.70,0
QRS006,20100906,114.25,114.25,114.25,114.25,0
QRS006,20100907,113.60,113.60,113.60,113.60,0
QRS006,20100908,118.34,118.34,118.34,118.34,0
QRS006,20100909,118.25,118.25,118.25,118.25,0
QRS006,20100910,117.87,117.87,117.87,117.87,0
QRS006,20100913,120.64,120.64,120.64,120.64,0
QRS006,20100914,119.88,119.88,119.88,119.88,0
QRS006,20100915,119.98,119.98,119.98,119.98,0
QRS006,20100916,119.15,119.15,119.15,119.15,0
QRS006,20100917,118.35,118.35,118.35,118.35,0
QRS006,20100920,120.11,120.11,120.11,120.11,0
QRS006,20100921,122.53,122.53,122.53,122.53,0
QRS006,20100922,122.73,122.73,122.73,122.73,0
QRS006,20100923,121.51,121.51,121.51,121.51,0
QRS006,20100924,124.02,124.02,124.02,124.02,0
QRS006,20100927,123.73,123.73,123.73,123.73,0
QRS006,20100928,121.35,121.35,121.35,121.35,0
QRS006,20100929,122.37,122.37,122.37,122.37,0
QRS006,20100930,124.63,124.63,124.63,124.63,0
QRS006,20101001,124.72,124.72,124.72,124.72,0
QRS006,20101004,126.43,126.43,126.43,126.43,0
QRS006,20101005,130.15,130.15,130.15,130.15,0
QRS006,20101006,129.26,129.26,129.26,129.26,0
QRS006,20101007,126.72,126.72,126.72,126.72,0
QRS006,20101008,125.27,125.27,125.27,125.27,0
QRS006,20101011,126.01,126.01,126.01,126.01,0
QRS006,20101012,126.68,126.68,126.68,126.68,0
QRS006,20101013,132.46,132.46,132.46,132.46,0
QRS006,20101014,130.48,130.48,130.48,130.48,0
QRS006,20101015,128.42,128.42,128.42,128.42,0
QRS006,20101018,128.79,128.79,128.79,128.79,0
QRS006,20101019,124.92,124.92,124.92,124.92,0
QRS006,20101020,125.29,125.29,125.29,125.29,0
QRS006,20101021,127.49,127.49,127.49,127.49,0
QRS006,20101022,127.19,127.19,127.19,127.19,0
QRS006,20101025,127.86,127.86,127.86,127.86,0
QRS006,20101026,127.86,127.86,127.86,127.86,0
QRS006,20101027,128.04,128.04,128.04,128.04,0
QRS006,20101028,127.66,127.66,127.66,127.66,0
QRS006,20101029,128.71,128.71,128.71,128.71,0
QRS006,20101102,131.68,131.68,131.68,131.68,0
QRS006,20101103,130.11,130.11,130.11,130.11,0
QRS006,20101104,134.58,134.58,134.58,134.58,0
QRS006,20101105,136.15,136.15,136.15,136.15,0
QRS006,20101108,135.25,135.25,135.25,135.25,0
QRS006,20101109,138.61,138.61,138.61,138.61,0
QRS006,20101110,135.60,135.60,135.60,135.60,0
QRS006,20101112,136.18,136.18,136.18,136.18,0
QRS006,20101115,135.28,135.28,135.28,135.28,0
QRS006,20101116,130.51,130.51,130.51,130.51,0
QRS006,20101117,131.09,131.09,131.09,131.09,0
QRS006,20101118,131.57,131.57,131.57,131.57,0
QRS006,20101119,126.69,126.69,126.69,126.69,0
QRS006,20101122,128.69,128.69,128.69,128.69,0
QRS006,20101123,126.15,126.15,126.15,126.15,0
QRS006,20101124,128.76,128.76,128.76,128.76,0
QRS006,20101125,128.94,128.94,128.94,128.94,0
QRS006,20101126,126.13,126.13,126.13,126.13,0
QRS006,20101129,124.01,124.01,124.01,124.01,0
QRS006,20101130,124.95,124.95,124.95,124.95,0
QRS006,20101201,129.89,129.89,129.89,129.89,0
QRS006,20101202,131.73,131.73,131.73,131.73,0
QRS006,20101203,132.90,132.90,132.90,132.90,0
QRS006,20101206,135.70,135.70,135.70,135.70,0
QRS006,20101207,137.98,137.98,137.98,137.98,0
QRS006,20101208,137.77,137.77,137.77,137.77,0
QRS006,20101209,137.57,137.57,137.57,137.57,0
QRS006,20101210,136.86,136.86,136.86,136.86,0
QRS006,20101213,138.28,138.28,138.28,138.28,0
QRS006,20101214,139.08,139.08,139.08,139.08,0
QRS006,20101215,139.98,139.98,139.98,139.98,0
QRS006,20101216,137.15,137.15,137.15,137.15,0
QRS006,20101217,137.00,137.00,137.00,137.00,0
QRS006,20101220,135.60,135.60,135.60,135.60,0
QRS006,20101221,138.93,138.93,138.93,138.93,0
QRS006,20101222,138.62,138.62,138.62,138.62,0
QRS006,20101223,138.41,138.41,138.41,138.41,0
QRS006,20101227,137.20,137.20,137.20,137.20,0
QRS006,20101228,137.69,137.69,137.69,137.69,0
QRS006,20101229,138.37,138.37,138.37,138.37,0
QRS006,20101230,136.38,136.38,136.38,136.38,0
QRS006,20101231,135.39,135.39,135.39,135.39,0
QRS006,20110103,137.83,137.83,137.83,137.83,0
QRS006,20110104,134.06,134.06,134.06,134.06,0
QRS006,20110105,130.83,130.83,130.83,130.83,0
QRS006,20110107,128.03,128.03,128.03,128.03,0
QRS006,20110110,125.93,125.93,125.93,125.93,0
QRS006,20110111,126.78,126.78,126.78,126.78,0
QRS006,20110112,131.70,131.70,131.70,131.70,0
QRS006,20110113,131.78,131.78,131.78,131.78,0
QRS006,20110114,131.97,131.97,131.97,131.97,0
QRS006,20110117,131.29,131.29,131.29,131.29,0
QRS006,20110118,138.52,138.52,138.52,138.52,0
QRS006,20110119,135.35,135.35,135.35,135.35,0
