Name,Date,Open,High,Low,Close,Volume
SKA042,20110601,100.72,100.72,100.72,100.72,0
SKA042,20110602,100.70,100.70,100.70,100.70,0
SKA042,20110603,100.68,100.68,100.68,100.68,0
SKA042,20110606,100.70,100.70,100.70,100.70,0
SKA042,20110607,100.72,100.72,100.72,100.72,0
SKA042,20110608,100.71,100.71,100.71,100.71,0
SKA042,20110609,100.66,100.66,100.66,100.66,0
SKA042,20110610,100.63,100.63,100.63,100.63,0
SKA042,20110613,100.60,100.60,100.60,100.60,0
SKA042,20110614,100.68,100.68,100.68,100.68,0
SKA042,20110615,100.58,100.58,100.58,100.58,0
SKA042,20110617,100.49,100.49,100.49,100.49,0
SKA042,20110620,100.50,100.50,100.50,100.50,0
SKA042,20110621,100.59,100.59,100.59,100.59,0
SKA042,20110622,100.59,100.59,100.59,100.59,0
SKA042,20110624,100.39,100.39,100.39,100.39,0
SKA042,20110627,100.32,100.32,100.32,100.32,0
SKA042,20110628,100.43,100.43,100.43,100.43,0
SKA042,20110629,100.66,100.66,100.66,100.66,0
SKA042,20110630,100.89,100.89,100.89,100.89,0
SKA042,20110701,101.10,101.10,101.10,101.10,0
SKA042,20110704,101.09,101.09,101.09,101.09,0
SKA042,20110705,101.07,101.07,101.07,101.07,0
SKA042,20110706,101.00,101.00,101.00,101.00,0
SKA042,20110707,101.06,101.06,101.06,101.06,0
SKA042,20110708,100.98,100.98,100.98,100.98,0
SKA042,20110711,100.76,100.76,100.76,100.76,0
SKA042,20110712,100.58,100.58,100.58,100.58,0
SKA042,20110713,100.76,100.76,100.76,100.76,0
SKA042,20110714,100.75,100.75,100.75,100.75,0
SKA042,20110715,100.66,100.66,100.66,100.66,0
SKA042,20110718,100.58,100.58,100.58,100.58,0
SKA042,20110719,100.68,100.68,100.68,100.68,0
SKA042,20110720,100.84,100.84,100.84,100.84,0
SKA042,20110721,101.05,101.05,101.05,101.05,0
SKA042,20110722,101.18,101.18,101.18,101.18,0
SKA042,20110725,101.22,101.22,101.22,101.22,0
SKA042,20110726,101.15,101.15,101.15,101.15,0
SKA042,20110727,100.92,100.92,100.92,100.92,0
SKA042,20110728,100.95,100.95,100.95,100.95,0
SKA042,20110729,100.94,100.94,100.94,100.94,0
SKA042,20110801,101.08,101.08,101.08,101.08,0
SKA042,20110802,100.67,100.67,100.67,100.67,0
SKA042,20110803,100.31,100.31,100.31,100.31,0
SKA042,20110804,100.13,100.13,100.13,100.13,0
SKA042,20110805,99.12,99.12,99.12,99.12,0
SKA042,20110808,98.65,98.65,98.65,98.65,0
SKA042,20110809,97.76,97.76,97.76,97.76,0
SKA042,20110810,97.65,97.65,97.65,97.65,0
SKA042,20110811,96.94,96.94,96.94,96.94,0
SKA042,20110812,97.52,97.52,97.52,97.52,0
SKA042,20110816,97.99,97.99,97.99,97.99,0
SKA042,20110817,98.23,98.23,98.23,98.23,0
SKA042,20110818,97.73,97.73,97.73,97.73,0
SKA042,20110819,97.54,97.54,97.54,97.54,0
SKA042,20110822,97.19,97.19,97.19,97.19,0
SKA042,20110823,97.00,97.00,97.00,97.00,0
SKA042,20110824,96.89,96.89,96.89,96.89,0
SKA042,20110825,97.05,97.05,97.05,97.05,0
SKA042,20110826,96.87,96.87,96.87,96.87,0
SKA042,20110829,96.92,96.92,96.92,96.92,0
SKA042,20110830,97.17,97.17,97.17,97.17,0
SKA042,20110831,97.62,97.62,97.62,97.62,0
SKA042,20110901,97.89,97.89,97.89,97.89,0
SKA042,20110902,97.55,97.55,97.55,97.55,0
SKA042,20110905,97.20,97.20,97.20,97.20,0
SKA042,20110906,96.76,96.76,96.76,96.76,0
SKA042,20110907,97.06,97.06,97.06,97.06,0
SKA042,20110908,97.20,97.20,97.20,97.20,0
SKA042,20110909,97.04,97.04,97.04,97.04,0
SKA042,20110912,96.41,96.41,96.41,96.41,0
SKA042,20110913,96.46,96.46,96.46,96.46,0
SKA042,20110914,96.79,96.79,96.79,96.79,0
SKA042,20110915,97.21,97.21,97.21,97.21,0
SKA042,20110916,97.43,97.43,97.43,97.43,0
SKA042,20110919,97.10,97.10,97.10,97.10,0
SKA042,20110920,97.19,97.19,97.19,97.19,0
SKA042,20110921,97.10,97.10,97.10,97.10,0
SKA042,20110922,96.49,96.49,96.49,96.49,0
SKA042,20110923,96.42,96.42,96.42,96.42,0
SKA042,20110926,96.28,96.28,96.28,96.28,0
SKA042,20110927,96.80,96.80,96.80,96.80,0
SKA042,20110928,96.73,96.73,96.73,96.73,0
SKA042,20110929,96.77,96.77,96.77,96.77,0
SKA042,20110930,96.52,96.52,96.52,96.52,0
SKA042,20111003,96.25,96.25,96.25,96.25,0
SKA042,20111004,95.62,95.62,95.62,95.62,0
