-------------------------------------------------------------------------
data          czas      rozmiar  plik              opis
-------------------------------------------------------------------------
2017-10-12    23:59       37 kB  OPE033.txt        NOVO Globalnego Dochodu
2017-10-12    23:59      222 kB  SEB001.txt        NOVO Zrownowazonego Wzrostu
2017-10-12    23:59      223 kB  SEB002.txt        NOVO Obligacji Przedsiebiorstw
2017-10-12    23:59      221 kB  SEB003.txt        NOVO Akcji
2017-10-12    23:59      208 kB  SEB004.txt        NOVO Stabilnego Wzrostu
2017-10-12    23:59      193 kB  SEB005.txt        NOVO Papierow Dluznych
2017-10-12    23:59      106 kB  SEB009.txt        NOVO Gotowkowy
2017-10-12    23:59       88 kB  SEB017.txt        NOVO Aktywnej Alokacji
2017-10-12    23:59      233 kB  UI_001.txt        UNIKorona Pieniezny
2017-10-12    23:59      207 kB  UI_002.txt        UNIKorona Obligacje
2017-10-12    23:59      250 kB  UI_003.txt        UNIKorona Zrownowazony
2017-10-12    23:59      230 kB  UI_005.txt        UNIKorona Akcje
2017-10-12    23:59      179 kB  UI_008.txt        UNIWIBID Plus
2017-10-12    23:59      124 kB  UI_012.txt        UNIAkcje Nowa Europa
2017-10-12    23:59      115 kB  UI_017.txt        UNIObligacje Nowa Europa
2017-10-12    23:59      115 kB  UI_018.txt        UNIStabilny Wzrost
2017-10-12    23:59      107 kB  UI_019.txt        UNIAkcje Wzrostu
2017-10-12    23:59      106 kB  UI_021.txt        UNIAkcje Malych i Srednich Spolek
2017-10-12    23:59       74 kB  UI_025.txt        UNIObligacje Aktywny
2017-10-12    23:59       66 kB  UI_027.txt        UniLokata
2017-10-12    23:59       46 kB  UI_029.txt        UniAkcje Turcja
2017-10-12    23:59       51 kB  UI_030.txt        UniAkcje Dywidendowy
2017-10-12    23:59       32 kB  UI_036.txt        UNIAkcje: Daleki Wschod
2017-10-12    23:59       25 kB  UI_041.txt        UNIAkcje Selektywny Globalny
2017-10-12    23:59       24 kB  UI_042.txt        UNIAkcje Biopharma
2017-10-12    23:59       21 kB  UI_044.txt        UNIAktywny Pieniezny
2017-10-11    23:59       21 kB  AGI001.txt        AGIO Globalny
2017-10-11    23:59       22 kB  AGI002.txt        AGIO Kapital
2017-10-11    23:59       15 kB  AGI003.txt        AGIO Agresywny Spolek Wzrostowych
2017-10-11    23:59       62 kB  AGI004.txt        AGIO Kapital PLUS
2017-10-11    23:59       20 kB  AGI043.txt        AGIO Stabilny PLUS
2017-10-11    23:59       20 kB  AGI044.txt        AGIO Akcji PLUS
2017-10-11    23:59       20 kB  AGI045.txt        AGIO Obligacji PLUS
2017-10-11    23:59      113 kB  AIG001.txt        MetLife Obligacji Skarbowych
2017-10-11    23:59      127 kB  AIG002.txt        MetLife Aktywnej Alokacji
2017-10-11    23:59      140 kB  AIG003.txt        MetLife Stabilnego Wzrostu
2017-10-11    23:59      140 kB  AIG004.txt        MetLife Akcji
2017-10-11    23:59      131 kB  AIG005.txt        MetLife Pieniezny
2017-10-11    23:59      125 kB  AIG006.txt        MetLife Zrownowazony Nowa Europa
2017-10-11    23:59      103 kB  AIG007.txt        MetLife Akcji Srednich Spolek
2017-10-11    23:59      115 kB  AIG008.txt        MetLife Lokacyjny
2017-10-11    23:59      115 kB  AIG009.txt        MetLife Obligacji Plus
2017-10-11    23:59      105 kB  AIG010.txt        MetLife Akcji Malych Spolek
2017-10-11    23:59      103 kB  AIG011.txt        MetLife Ochrony Wzrostu
2017-10-11    23:59      106 kB  AIG012.txt        MetLife Akcji Nowa Europa
2017-10-11    23:59      103 kB  AIG013.txt        MetLife Akcji Polskich
2017-10-11    23:59      103 kB  AIG014.txt        MetLife Obligacji Swiatowych
2017-10-11    23:59      107 kB  AIG015.txt        MetLife Akcji Amerykanskich
2017-10-11    23:59      112 kB  AIG016.txt        MetLife Zrownowazony Azjatycki
2017-10-11    23:59       45 kB  AIG017.txt        MetLife Akcji Rynkow Rozwinietych
2017-10-11    23:59       99 kB  AIG018.txt        MetLife Akcji Rynkow Wschodzacych
2017-10-11    23:59      108 kB  AIG019.txt        MetLife Akcji Chinskich i Azjatyckich
2017-10-11    23:59      178 kB  AIP001.txt        AVIVA Depozyt Plus
2017-10-11    23:59      178 kB  AIP002.txt        AVIVA Obligacji
2017-10-11    23:59      178 kB  AIP003.txt        AVIVA Polskich Akcji
2017-10-11    23:59      178 kB  AIP004.txt        AVIVA Stabilnego Inwestowania
2017-10-11    23:59      149 kB  AIP005.txt        AVIVA Ochrony Kapitalu Plus
2017-10-11    23:59      140 kB  AIP006.txt        AVIVA Aktywnej Alokacji
2017-10-11    23:59      120 kB  AIP007.txt        AVIVA Zrownowazony
2017-10-11    23:59      104 kB  AIP008.txt        AVIVA Europejskich Akcji
2017-10-11    23:59      106 kB  AIP009.txt        AVIVA Nowoczesnych Technologii
2017-10-11    23:59      108 kB  AIP010.txt        AVIVA Malych Spolek
2017-10-11    23:59      108 kB  AIP011.txt        AVIVA Nowych Spolek
2017-10-11    23:59       84 kB  AIP016.txt        AVIVA Optymalnego Wzrostu
2017-10-11    23:59       72 kB  AIP017.txt        AVIVA Globalnych Akcji
2017-10-11    23:59       67 kB  AIP018.txt        AVIVA Obligacji Dynamiczny
2017-10-11    23:59       67 kB  AIP019.txt        AVIVA Dluznych Papierow Korporacyjnych
2017-10-11    23:59       33 kB  AIP021.txt        AVIVA Obligacji Zamiennych
2017-10-11    23:59       21 kB  AIP099.txt        AVIVA Oszczednosciowy
2017-10-11    23:59      157 kB  ALL001.txt        ALLIANZ Akcji
2017-10-11    23:59      173 kB  ALL002.txt        ALLIANZ Obligacji Plus
2017-10-11    23:59      157 kB  ALL003.txt        ALLIANZ Stabilnego Wzrostu
2017-10-11    23:59      131 kB  ALL004.txt        ALLIANZ Aktywnej Alokacji
2017-10-11    23:59      136 kB  ALL005.txt        ALLIANZ Pieniezny
2017-10-11    23:59      134 kB  ALL006.txt        ALLIANZ Polskich Obligacji Skarbowych
2017-10-11    23:59      113 kB  ALL012.txt        ALLIANZ MiS Spolek
2017-10-11    23:59      108 kB  ALL014.txt        ALLIANZ Selektywny
2017-10-11    23:59       28 kB  ALL030.txt        ALLIANZ Akcji Rynkow Wschodzacych
2017-10-11    23:59       43 kB  ALL032.txt        ALLIANZ Akcji Globalnych
2017-10-11    23:59       41 kB  ALL033.txt        ALLIANZ Surowcow i Energii
2017-10-11    23:59       43 kB  ALL034.txt        ALLIANZ Obligacji Globalnych
2017-10-11    23:59       23 kB  ALL035.txt        ALLIANZ Globalny Stabilnego Dochodu
2017-10-11    23:59       20 kB  ALL036.txt        ALLIANZ Defensywna Multistrategia
2017-10-11    23:59       20 kB  ALL037.txt        ALLIANZ Dynamiczna Multistrategia
2017-10-11    23:59       20 kB  ALL038.txt        ALLIANZ Dywidendowy Akcji Europejskich
2017-10-11    23:59       15 kB  ALL039.txt        ALLIANZ Malych Spolek Europejskich
2017-10-11    23:59       20 kB  ALL040.txt        ALLIANZ Zbalansowana Multistrategia
2017-10-11    23:59       15 kB  ALL042.txt        ALLIANZ Pieniezny Globalny
2017-10-11    23:59       15 kB  ALL043.txt        ALLIANZ Europe Equity Growth Select
2017-10-11    23:59       15 kB  ALL045.txt        ALLIANZ PIMCO Global Low Duration Real Return
2017-10-11    23:59       15 kB  ALL046.txt        ALLIANZ US Short Duration High Income Bond
2017-10-11    23:59       15 kB  ALL047.txt        ALLIANZ India Equity
2017-10-11    23:59       15 kB  ALL048.txt        ALLIANZ Global Metals and Mining
2017-10-11    23:59       15 kB  ALL049.txt        ALLIANZ PIMCO Income
2017-10-11    23:59       14 kB  ALL050.txt        ALLIANZ PIMCO Emerging Markets Bond
2017-10-11    23:59       14 kB  ALL051.txt        ALLIANZ PIMCO Global Bond
2017-10-11    23:59       15 kB  ALL052.txt        ALLIANZ PIMCO Global High Yield Bond
2017-10-11    23:59       14 kB  ALL053.txt        ALLIANZ PIMCO Global Investment Grade Credit
2017-10-11    23:59       14 kB  ALL054.txt        ALLIANZ PIMCO Emerging Local Bond
2017-10-11    23:59       57 kB  ALT001.txt        ALTUS Absolutnej St. Zwr. Rynku Pol.
2017-10-11    23:59       50 kB  ALT022.txt        ALTUS Stabilnego Wzrostu
2017-10-11    23:59       47 kB  ALT023.txt        ALTUS Aktywnego Zarzadzania
2017-10-11    23:59       44 kB  ALT024.txt        ALTUS Pieniezny
2017-10-11    23:59       40 kB  ALT920.txt        ALTUS Absolutnej Stopy Zwrotu Nowej Europy
2017-10-11    23:59       40 kB  ALT921.txt        ALTUS Optymalnego Wzrostu
2017-10-11    23:59       57 kB  ALT991.txt        ALTUS Absolutnej St. Zwr. Dluzny
2017-10-11    23:59       57 kB  ALT992.txt        ALTUS Akcji
2017-10-11    23:59       54 kB  ALT993.txt        ALTUS Short
2017-10-11    23:59      230 kB  BPH001.txt        ROCKBRIDGE Obligacji 2
2017-10-11    23:59      209 kB  BPH002.txt        ROCKBRIDGE Akcji
2017-10-11    23:59      212 kB  BPH003.txt        ROCKBRIDGE Obligacji 1
2017-10-11    23:59      159 kB  BPH004.txt        ROCKBRIDGE Zrownowazony
2017-10-11    23:59      187 kB  BPH005.txt        ROCKBRIDGE Akcji Dynamicznych Spolek
2017-10-11    23:59      176 kB  BPH006.txt        ROCKBRIDGE Akcji Rynkow Wschodzacych
2017-10-11    23:59      210 kB  BPH007.txt        ROCKBRIDGE Stabilnego Wzrostu
2017-10-11    23:59      215 kB  BPH008.txt        ROCKBRIDGE Skarbowy
2017-10-11    23:59      182 kB  BPH009.txt        ROCKBRIDGE Obligacji Korporacyjnych
